"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Royals","2069","1458","12837.0","4279","1657","98","59","39","461","195","150","191","31","58","30","10","85",".984","","2069","1458","12837.0","4279","1657","98","59","39","461","195","150","191","31","58","30","10","85",".984","","3","9","-3","0","21","30","2556","2136",".836","357","","","5.6","2.1","44.5","-1.7","50.6","7.6","","","58.6","","","","","","","","","","","",""
"Tigers","2025","1458","13032.0","4344","1779","106","61","45","394","163","120","162","19","49","35","6","44",".983","","2025","1458","13032.0","4344","1779","106","61","45","394","163","120","162","19","49","35","6","44",".983","","4","10","8","-2","18","54","2478","2081",".840","348","","","5.9","3.0","28.6","-2.5","35.0","6.3","","","48.0","","","","","","","","","","","",""
"Mariners","2023","1458","13020.0","4340","1630","88","51","37","365","153","115","151","29","72","38","16","47",".986","","2023","1458","13020.0","4340","1630","88","51","37","365","153","115","151","29","72","38","16","47",".986","","1","4","7","-1","50","54","2377","1979",".833","395","","","12.6","5.5","23.9","0.1","42.0","8.3","","","46.0","","","","","","","","","","","",""
"Astros","2231","1458","13218.0","4406","1749","80","51","27","407","168","129","164","25","78","28","7","44",".987","","2231","1458","13218.0","4406","1749","80","51","27","407","168","129","164","25","78","28","7","44",".987","","-3","4","3","7","38","56","2384","1997",".838","400","","","-2.3","4.5","25.9","8.8","37.0","4.8","","","35.0","","","","","","","","","","","",""
"Twins","2006","1458","12954.0","4318","1646","84","40","43","317","135","104","134","22","54","31","5","40",".986","","2006","1458","12954.0","4318","1646","84","40","43","317","135","104","134","22","54","31","5","40",".986","","-1","-5","1","8","3","15","2456","2019",".822","329","","","1.9","-6.3","32.6","2.5","30.8","4.0","","","34.8","","","","","","","","","","","",""
"Giants","2164","1449","12867.0","4289","1578","91","48","43","312","134","101","132","14","98","40","5","50",".985","","2164","1449","12867.0","4289","1578","91","48","43","312","134","101","132","14","98","40","5","50",".985","","-3","-3","-14","15","30","32","2424","2053",".847","351","","","-7.1","-4.0","36.3","5.8","31.1","2.2","","","31.1","","","","","","","","","","","",""
"Cubs","2190","1458","12951.0","4317","1481","106","51","54","267","123","81","122","33","118","39","12","68",".982","","2190","1458","12951.0","4317","1481","106","51","54","267","123","81","122","33","118","39","12","68",".982","","-4","-6","-7","-7","13","-16","2223","1862",".838","337","","","-11.3","-1.9","47.2","-2.8","31.2","2.1","","","22.2","","","","","","","","","","","",""
"Mets","2065","1458","13152.0","4384","1638","104","48","54","304","131","103","132","20","111","40","10","37",".983","","2065","1458","13152.0","4384","1638","104","48","54","304","131","103","132","20","111","40","10","37",".983","","1","-3","3","4","35","32","2368","1984",".838","326","","","-1.1","-1.9","19.8","7.5","24.2","2.8","","","22.2","","","","","","","","","","","",""
"Orioles","2129","1458","12771.0","4257","1607","102","54","47","373","158","119","156","18","80","50","15","59",".983","","2129","1458","12771.0","4257","1607","102","54","47","373","158","119","156","18","80","50","15","59",".983","","8","3","8","-7","-22","-13","2474","2063",".834","339","","","3.8","-0.8","-2.6","4.5","4.8","1.1","","","18.8","","","","","","","","","","","",""
"Athletics","2016","1458","13065.0","4355","1624","84","43","39","417","177","131","175","17","88","41","10","43",".986","","2016","1458","13065.0","4355","1624","84","43","39","417","177","131","175","17","88","41","10","43",".986","","6","6","3","1","-21","4","2504","2068",".826","350","","","-4.7","-2.2","-2.2","12.8","3.6","-0.4","","","11.6","","","","","","","","","","","",""
"Padres","2156","1458","13173.0","4391","1595","92","46","42","341","141","103","138","27","150","26","11","34",".985","","2156","1458","13173.0","4391","1595","92","46","42","341","141","103","138","27","150","26","11","34",".985","","-6","-3","-9","-2","61","27","2378","2009",".845","363","","","-9.2","-1.4","33.1","8.4","30.9","1.8","","","10.9","","","","","","","","","","","",""
"Blue Jays","2146","1458","12855.0","4284","1713","99","42","56","366","160","122","158","31","130","32","15","53",".984","","2146","1458","12855.0","4284","1713","99","42","56","366","160","122","158","31","130","32","15","53",".984","","-6","3","19","-1","32","39","2355","1946",".826","386","","","15.3","0.5","16.0","-6.2","25.5","6.7","","","10.5","","","","","","","","","","","",""
"Angels","2050","1458","13074.0","4358","1544","124","77","44","365","156","122","156","18","77","40","8","85",".979","","2050","1458","13074.0","4358","1544","124","77","44","365","156","122","156","18","77","40","8","85",".979","","5","5","12","-4","-23","-2","2434","1983",".815","354","","","6.3","-1.8","6.8","-12.3","-1.0","1.1","","","8.0","","","","","","","","","","","",""
"Cardinals","2217","1449","12867.0","4289","1779","98","69","29","435","171","140","170","19","63","32","8","35",".984","","2217","1449","12867.0","4289","1779","98","69","29","435","171","140","170","19","63","32","8","35",".984","","3","3","-13","12","46","55","2373","1975",".832","439","","","-6.5","5.4","0.1","-0.1","-1.0","-0.9","","","6.0","","","","","","","","","","","",""
"Brewers","2011","1458","12831.0","4277","1579","117","58","59","317","128","100","128","21","97","31","3","57",".980","","2011","1458","12831.0","4277","1579","117","58","59","317","128","100","128","21","97","31","3","57",".980","","-1","-6","-12","-2","21","-3","2219","1817",".819","418","","","-6.7","-2.8","22.8","-6.3","6.9","-0.6","","","4.9","","","","","","","","","","","",""
"Braves","2203","1458","12972.0","4324","1607","99","53","44","368","147","113","146","25","101","30","8","39",".984","","2203","1458","12972.0","4324","1607","99","53","44","368","147","113","146","25","101","30","8","39",".984","","-3","-1","-1","5","-8","-13","2398","1980",".826","419","","","-1.3","-2.8","14.0","0.1","10.0","0.9","","","3.0","","","","","","","","","","","",""
"Devil Rays","2080","1458","12783.0","4261","1591","116","70","45","363","159","115","158","29","108","46","8","70",".981","","2080","1458","12783.0","4261","1591","116","70","45","363","159","115","158","29","108","46","8","70",".981","","-6","4","2","-9","-28","-35","2524","2015",".798","389","","","-0.2","-3.5","17.4","-12.5","1.2","-0.3","","","-1.8","","","","","","","","","","","",""
"Rangers","2048","1458","12882.0","4294","1748","97","55","40","415","174","134","174","27","67","40","11","34",".984","","2048","1458","12882.0","4294","1748","97","55","40","415","174","134","174","27","67","40","11","34",".984","","5","5","11","9","-22","12","2539","2079",".819","368","","","5.1","-3.1","-21.9","8.0","-11.9","-1.0","","","-3.9","","","","","","","","","","","",""
"Rockies","2105","1458","13026.0","4342","1815","91","56","35","477","191","152","189","20","99","42","8","43",".985","","2105","1458","13026.0","4342","1815","91","56","35","477","191","152","189","20","99","42","8","43",".985","","4","10","10","5","-5","23","2501","2059",".823","390","","","14.8","8.8","-44.1","10.2","-10.3","1.8","","","-5.3","","","","","","","","","","","",""
"Reds","2129","1458","13011.0","4337","1596","128","60","66","320","140","102","139","20","50","35","9","40",".979","","2129","1458","13011.0","4337","1596","128","60","66","320","140","102","139","20","50","35","9","40",".979","","2","-5","9","-9","-48","-47","2435","1978",".812","344","","","8.2","1.1","-7.5","-14.6","-12.8","-0.2","","","-5.8","","","","","","","","","","","",""
"Phillies","2183","1458","13143.0","4381","1686","104","50","52","388","156","121","153","23","94","35","11","58",".983","","2183","1458","13143.0","4381","1686","104","50","52","388","156","121","153","23","94","35","11","58",".983","","-2","6","5","2","-8","-4","2376","1944",".818","352","","","1.5","2.5","-13.4","2.9","-6.6","-0.3","","","-11.6","","","","","","","","","","","",""
"Marlins","2212","1458","12900.0","4300","1588","126","61","64","420","170","137","169","23","69","46","14","47",".979","","2212","1458","12900.0","4300","1588","126","61","64","420","170","137","169","23","69","46","14","47",".979","","5","3","2","-15","-16","-13","2324","1879",".809","372","","","-2.6","1.1","-17.2","-8.2","-26.9","-4.0","","","-12.9","","","","","","","","","","","",""
"White Sox","2069","1458","13041.0","4347","1652","90","49","39","361","150","109","148","27","116","34","13","51",".985","","2069","1458","13041.0","4347","1652","90","49","39","361","150","109","148","27","116","34","13","51",".985","","-2","2","-7","-11","-17","-36","2510","2053",".818","355","","","-14.3","-2.0","-4.9","5.4","-15.9","-4.9","","","-21.9","","","","","","","","","","","",""
"Nationals","2165","1458","12927.0","4309","1499","131","64","62","259","123","91","123","25","110","30","11","47",".978","","2165","1458","12927.0","4309","1499","131","64","62","259","123","91","123","25","110","30","11","47",".978","","-5","-13","8","-2","-29","-50","2455","1996",".813","381","","","6.1","-6.8","1.2","-15.6","-15.1","-2.0","","","-24.1","","","","","","","","","","","",""
"Diamondbacks","2075","1458","13137.0","4379","1776","104","54","48","399","173","126","172","15","90","45","11","53",".983","","2075","1458","13137.0","4379","1776","104","54","48","399","173","126","172","15","90","45","11","53",".983","","-1","7","-13","0","14","5","2462","2011",".817","375","","","-10.8","6.1","-23.1","0.2","-27.7","-5.0","","","-25.7","","","","","","","","","","","",""
"Red Sox","2165","1458","12972.0","4324","1662","66","37","28","414","176","131","175","22","108","23","24","52",".989","","2165","1458","12972.0","4324","1662","66","37","28","414","176","131","175","22","108","23","24","52",".989","","-7","7","-1","4","-51","-57","2520","2018",".801","357","","","2.2","1.7","-43.4","17.7","-21.9","-2.3","","","-34.9","","","","","","","","","","","",""
"Dodgers","2176","1458","13143.0","4382","1794","115","63","52","432","178","135","174","30","110","38","7","54",".982","","2176","1458","13143.0","4382","1794","115","63","52","432","178","135","174","30","110","38","7","54",".982","","-4","-6","-5","-12","-6","-33","2540","2080",".819","344","","","-2.5","-3.0","-29.5","-4.9","-39.9","-5.7","","","-46.9","","","","","","","","","","","",""
"Pirates","2118","1458","12915.0","4305","1788","104","61","43","410","173","128","169","21","102","52","16","61",".983","","2118","1458","12915.0","4305","1788","104","61","43","410","173","128","169","21","102","52","16","61",".983","","0","1","-7","-1","-50","-36","2426","1945",".802","312","","","-0.6","4.0","-65.5","8.4","-53.7","-6.8","","","-49.7","","","","","","","","","","","",""
"Indians","1938","1458","12810.0","4270","1670","118","69","45","394","170","122","165","27","128","34","7","46",".981","","1938","1458","12810.0","4270","1670","118","69","45","394","170","122","165","27","128","34","7","46",".981","","-8","5","-6","6","-32","-46","2565","2058",".802","374","","","-1.8","0.8","-32.1","-6.2","-39.3","-5.3","","","-53.3","","","","","","","","","","","",""
"Yankees","2240","1458","12993.0","4331","1593","104","53","50","356","147","107","145","18","92","47","17","46",".983","","2240","1458","12993.0","4331","1593","104","53","50","356","147","107","145","18","92","47","17","46",".983","","3","1","-8","3","-34","-39","2485","2040",".821","304","","","-6.5","-1.5","-62.6","-9.4","-80.1","-11.8","","","-75.1","","","","","","","","","","","",""
