"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Yankees","1962","6444","207","965","907","153","10.1 %","15.9 %",".172",".317",".288",".364",".460",".360","116","3.1","138.5","6.9","36.1","30","1962","5643","6444","1625","1097","290","31","207","965","907","653","34","1025","57","59","32","145","153","63",".288","","","","","","","","","","","10.1 %","15.9 %","0.64",".364",".460",".825",".172",".317","","","","","","","","",".360","153.9","952","135.3","26.0","199.8","-19.1","368.3","36.1","","5.1","116","16.58","-101.94","118.52","183.04","17.52","0.93","1.34","53","13.14","4.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","3.1","","24 - 38","138.5","23.2","","","","","","","","29.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rangers","1876","6401","201","940","894","82","9.3 %","16.3 %",".173",".321",".289",".357",".462",".357","108","-4.1","60.8","-0.4","27.6","30","1876","5672","6401","1637","1090","314","32","201","940","894","595","27","1045","39","54","41","137","82","47",".289","","","","","","","","","","","9.3 %","16.3 %","0.57",".357",".462",".819",".173",".321","","","","","","","","",".357","136.3","929","65.0","19.0","198.5","-19.4","281.9","27.6","","4.4","108","1.46","-109.80","111.25","55.36","5.01","0.94","1.12","91","2.00","-0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.4","-4.1","","23 - 34","60.8","23.1","","","","","","","","28.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mariners","1858","6331","234","859","823","115","8.8 %","17.1 %",".192",".302",".276",".345",".468",".353","109","5.9","77.8","-30.5","26.0","30","1858","5631","6331","1554","971","321","28","234","859","823","558","26","1082","57","49","36","107","115","39",".276","","","","","","","","","","","8.8 %","17.1 %","0.52",".345",".468",".812",".192",".302","","","","","","","","",".353","112.4","896","71.9","-15.0","196.3","-15.5","266.4","26.0","","4.8","109","2.81","-105.79","108.60","52.44","5.10","0.94","1.62","93","7.62","-4.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-30.5","5.9","","22 - 36","77.8","22.8","","","","","","","","29.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","2043","6302","205","876","827","72","8.6 %","16.6 %",".183",".310",".280",".348",".463",".352","107","-2.7","54.8","44.2","31.1","29","2043","5601","6302","1568","990","338","35","205","876","827","541","32","1049","70","52","35","144","72","39",".280","","","","","","","","","","","8.6 %","16.6 %","0.52",".348",".463",".810",".183",".310","","","","","","","","",".352","109.8","890","57.5","65.0","195.4","-20.8","317.1","31.1","","4.6","107","3.04","-112.54","115.58","78.92","7.52","1.00","1.94","112","5.21","-2.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.2","-2.7","","23 - 36","54.8","22.7","","","","","","","","28.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockies","2326","6277","183","826","791","67","7.5 %","15.1 %",".169",".321",".291",".347",".461",".351","87","-7.1","-110.3","52.2","13.7","29","2326","5632","6277","1640","1088","333","36","183","826","791","469","29","949","37","41","98","148","67","47",".291","","","","","","","","","","","7.5 %","15.1 %","0.49",".347",".461",".808",".169",".321","","","","","","","","",".351","97.8","875","-103.1","13.0","194.6","39.2","139.8","13.7","","4.3","87","-6.06","-122.95","116.90","-37.82","-4.72","1.05","1.35","308","-2.30","-3.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.2","-7.1","","22 - 35","-110.3","3.3","","","","","","","","25.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orioles","2017","6304","214","817","783","86","9.4 %","14.3 %",".174",".291",".273",".347",".447",".347","109","-3.8","66.0","-29.3","24.9","30","2017","5565","6304","1520","992","303","11","214","817","783","593","30","903","58","44","44","136","86","48",".273","","","","","","","","","","","9.4 %","14.3 %","0.66",".347",".447",".794",".174",".291","","","","","","","","",".347","82.9","863","69.8","-10.0","195.5","-19.3","254.9","24.9","","3.7","109","-1.73","-112.59","110.86","38.96","3.52","1.00","1.51","120","3.85","-5.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-29.3","-3.8","","21 - 39","66.0","22.7","","","","","","","","27.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","2125","6441","166","874","818","155","9.6 %","17.4 %",".156",".321",".280",".356",".436",".347","113","8.7","112.1","44.5","35.2","29","2125","5641","6441","1578","1058","326","28","166","874","818","621","52","1122","72","49","58","146","155","51",".280","","","","","","","","","","","9.6 %","17.4 %","0.55",".356",".436",".792",".156",".321","","","","","","","","",".347","76.9","874","103.3","1.0","199.7","43.5","359.7","35.2","","5.1","113","12.07","-114.50","126.57","138.99","14.36","1.06","1.56","225","12.03","-0.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5","8.7","","22 - 36","112.1","3.4","","","","","","","","29.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indians","1852","6376","198","850","811","143","9.9 %","16.6 %",".176",".302",".272",".347",".448",".347","103","2.0","29.1","20.9","26.5","29","1852","5616","6376","1530","968","334","30","198","850","811","630","35","1061","41","59","30","123","143","61",".272","","","","","","","","","","","9.9 %","16.6 %","0.59",".347",".448",".795",".176",".302","","","","","","","","",".347","82.3","872","27.0","37.0","197.7","-16.1","270.6","26.5","","4.9","103","-2.80","-120.02","117.22","5.16","0.37","1.03","1.58","75","1.16","-3.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9","2.0","","22 - 35","29.1","23.0","","","","","","","","29.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Braves","1971","6217","215","826","794","98","8.8 %","17.1 %",".181",".300",".272",".342",".453",".346","108","0.8","61.7","124.6","37.6","28","1971","5484","6217","1489","951","297","26","215","826","794","548","37","1062","61","46","76","104","98","43",".272","","","","","","","","","","","8.8 %","17.1 %","0.52",".342",".453",".795",".181",".300","","","","","","","","",".346","69.9","840","60.9","84.0","192.8","40.6","382.3","37.6","","4.6","108","10.20","-93.88","104.07","114.37","11.40","0.88","1.13","242","13.07","-1.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124.6","0.8","","21 - 43","61.7","3.2","","","","","","","","29.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Jays","1875","6323","221","816","776","184","8.9 %","17.9 %",".182",".295",".266",".340",".448",".343","102","1.6","20.6","-13.7","22.1","30","1875","5580","6323","1482","926","316","19","221","816","776","564","43","1132","87","49","43","108","184","81",".266","","","","","","","","","","","8.9 %","17.9 %","0.50",".340",".448",".787",".182",".295","","","","","","","","",".343","60.0","843","19.0","2.0","196.0","-15.7","225.7","22.1","","4.9","102","-0.68","-112.36","111.68","12.59","1.36","0.98","1.59","56","3.06","-3.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.7","1.6","","22 - 40","20.6","22.8","","","","","","","","30.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
