"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Braves","95","67","4.06","538","162","13","6","53","","","1440.1","6165","1428","714","649","165","484","52","37","23","6","1093","30","95","67","4.06","538","162","13","6","53","","1440.1","6165","1428","714","649","165","484","52","37","23","6","1093","","","","","","","","","","","","6.83","3.02","2.26","8.92","1.03",".253","1.33",".288","71.9 %","4.19","","","","","","","","","213.6","1039.4","14.4","395.1","228.0","22.3","","","","10.35","-102.91","113.27","67.37","6.31","1.01","0.99","1.10","1.20","376","7.66","2.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","54","88","90","","17.7 %","7.9 %","","","-0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5","2.3","-1.1","1.2","21 - 37","9.9 %","","","","","","","4.41","28.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dodgers","86","76","4.10","533","162","9","3","36","","","1445.0","6249","1379","729","659","176","600","22","75","60","6","1154","29","86","76","4.10","533","162","9","3","36","","1445.0","6249","1379","729","659","176","600","22","75","60","6","1154","","","","","","","","","","","","7.19","3.74","1.92","8.59","1.10",".247","1.37",".283","73.3 %","4.52","","","","","","","","","131.4","964.6","37.6","474.1","168.9","16.5","","","","-0.69","-110.96","110.27","20.79","2.09","1.00","0.93","1.05","1.13","371","-1.78","1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","75","95","96","","18.5 %","9.6 %","","","-0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0","4.3","-3.8","0.5","22 - 41","8.9 %","","","","","","","4.53","30.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mets","94","68","4.16","573","162","8","2","49","","","1450.0","6276","1398","738","671","164","574","42","60","34","7","1164","29","94","68","4.16","573","162","8","2","49","","1450.0","6276","1398","738","671","164","574","42","60","34","7","1164","","","","","","","","","","","","7.22","3.56","2.03","8.68","1.02",".248","1.36",".286","71.8 %","4.31","","","","","","","","","177.9","1001.0","18.7","444.1","196.6","19.1","","","","9.06","-109.66","118.72","24.97","2.76","1.07","1.04","1.17","1.28","411","2.01","6.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128","68","94","94","","18.6 %","9.2 %","","","-0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9","3.0","-2.2","0.8","22 - 39","9.4 %","","","","","","","4.47","30.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","97","65","4.21","546","162","9","4","47","","","1444.1","6270","1452","747","676","151","623","26","41","43","4","1076","29","97","65","4.21","546","162","9","4","47","","1444.1","6270","1452","747","676","151","623","26","41","43","4","1076","","","","","","","","","","","","6.70","3.88","1.73","9.05","0.94",".259","1.44",".297","71.9 %","4.38","","","","","","","","","123.8","1012.6","49.0","428.0","172.7","16.4","","","","4.26","-107.89","112.15","42.39","4.92","1.01","0.97","1.11","1.22","384","3.68","0.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","64","95","97","","17.2 %","9.9 %","","","-0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0","-1.2","1.8","0.6","22 - 38","7.2 %","","","","","","","4.73","29.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","85","77","4.24","587","162","7","4","46","","","1452.2","6225","1433","745","684","173","498","40","58","33","2","1121","29","85","77","4.24","587","162","7","4","46","","1452.2","6225","1433","745","684","173","498","40","58","33","2","1121","","","","","","","","","","","","6.95","3.09","2.25","8.88","1.07",".253","1.33",".288","71.2 %","4.29","","","","","","","","","143.9","884.0","61.6","561.2","205.5","20.5","","","","10.37","-103.68","114.05","73.73","6.78","1.00","0.98","1.08","1.16","425","9.90","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127","68","85","92","","18.0 %","8.0 %","","","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1","4.6","2.1","6.7","22 - 39","10.0 %","","","","","","","4.40","28.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reds","85","77","4.33","550","163","8","1","42","","","1456.1","6362","1446","765","700","190","659","53","43","96","5","1015","28","85","77","4.33","550","163","8","1","42","","1456.1","6362","1446","765","700","190","659","53","43","96","5","1015","","","","","","","","","","","","6.27","4.07","1.54","8.94","1.17",".255","1.45",".282","73.5 %","4.88","","","","","","","","","102.4","951.2","43.5","497.9","145.8","13.8","","","","8.13","-111.74","119.87","68.54","6.29","1.03","1.01","1.17","1.29","388","1.87","6.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122","72","91","101","","16.0 %","10.4 %","","","-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4","4.1","3.5","7.6","23 - 37","5.6 %","","","","","","","4.93","29.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","85","77","4.36","552","162","16","4","38","","","1443.2","6158","1441","754","700","190","500","53","42","30","10","1220","30","85","77","4.36","552","162","16","4","38","","1443.2","6158","1441","754","700","190","500","53","42","30","10","1220","","","","","","","","","","","","7.61","3.12","2.44","8.98","1.18",".257","1.34",".297","71.6 %","4.28","","","","","","","","","183.1","1000.3","36.9","438.7","220.0","22.1","","","","4.44","-107.47","111.91","35.91","3.91","1.01","0.98","1.02","1.08","390","5.78","-1.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","63","92","90","","19.8 %","8.1 %","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8","-1.4","0.1","-1.3","21 - 40","11.7 %","","","","","","","4.19","31.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","95","67","4.40","548","162","10","4","37","","","1433.2","6200","1403","771","701","196","606","28","62","49","9","1100","29","95","67","4.40","548","162","10","4","37","","1433.2","6200","1403","771","701","196","606","28","62","49","9","1100","","","","","","","","","","","","6.91","3.80","1.82","8.81","1.23",".254","1.40",".285","72.4 %","4.77","","","","","","","","","150.2","999.5","7.9","428.8","158.1","15.0","","","","6.92","-105.42","112.34","46.68","4.87","0.99","0.97","1.07","1.16","386","4.78","2.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","59","96","100","","17.7 %","9.8 %","","","-0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","3.1","-1.4","1.7","20 - 43","8.0 %","","","","","","","4.64","30.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Padres","76","86","4.52","605","162","5","0","46","","","1459.1","6414","1443","815","733","191","649","50","68","65","7","1071","28","76","86","4.52","605","162","5","0","46","","1459.1","6414","1443","815","733","191","649","50","68","65","7","1071","","","","","","","","","","","","6.61","4.00","1.65","8.90","1.18",".253","1.43",".282","71.1 %","4.84","","","","","","","","","79.7","975.2","20.9","476.9","100.6","9.5","","","","-4.46","-120.09","115.63","-59.86","-5.43","1.04","1.00","1.17","1.28","443","-3.39","-0.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122","80","105","107","","16.7 %","10.1 %","","","-0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0","4.5","-5.0","-0.5","22 - 36","6.6 %","","","","","","","4.81","29.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mariners","91","71","4.53","545","162","4","4","44","","","1441.2","6269","1442","780","726","167","634","37","38","43","6","998","28","91","71","4.53","545","162","4","4","44","","1441.2","6269","1442","780","726","167","634","37","38","43","6","998","","","","","","","","","","","","6.23","3.96","1.57","9.00","1.04",".258","1.44",".288","71.0 %","4.65","","","","","","","","","143.0","954.1","22.9","481.5","165.9","15.5","","","","6.96","-103.18","110.15","24.53","2.93","0.98","0.97","1.14","1.25","383","4.36","2.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103","66","96","98","","15.9 %","10.1 %","","","-0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9","4.4","-2.0","2.5","21 - 37","5.8 %","","","","","","","4.90","28.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
