"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Diamondbacks","2021","1458","12990.0","4330","1604","90","48","42","313","131","108","131","42","61","43","9","39",".985","","2021","1458","12990.0","4330","1604","90","48","42","313","131","108","131","42","61","43","9","39",".985","","5","1","-6","5","37","57","2160","1812",".839","554","","21","-4.0","-0.8","58.6","6.9","60.6","7.2","54","0.9","73.6","","","","","","","","","","","",""
"Rays","2114","1458","13041.0","4347","1519","73","34","37","319","140","106","140","48","104","33","5","45",".988","","2114","1458","13041.0","4347","1519","73","34","37","319","140","106","140","48","104","33","5","45",".988","","1","4","6","12","38","55","2106","1779",".845","545","","40","1.2","5.0","44.5","6.6","57.3","9.3","54","0.4","59.8","","","","","","","","","","","",""
"Reds","2172","1458","13209.0","4403","1758","91","54","37","340","147","101","147","30","81","44","5","51",".985","","2172","1458","13209.0","4403","1758","91","54","37","340","147","101","147","30","81","44","5","51",".985","","-2","-4","1","-5","52","60","2295","1955",".852","479","","32","3.0","-3.9","29.0","10.4","38.5","5.2","66","2.0","44.5","","","","","","","","","","","",""
"Angels","1999","1458","13185.0","4395","1723","93","53","40","390","159","122","159","26","126","40","7","55",".985","","1999","1458","13185.0","4395","1723","93","53","40","390","159","122","159","26","126","40","7","55",".985","","-1","6","7","13","-2","28","2280","1950",".855","518","","17","3.8","6.7","23.6","7.8","41.8","6.6","76","3.0","42.9","","","","","","","","","","","",""
"Rangers","2055","1458","12972.0","4324","1552","114","69","44","394","166","118","165","26","85","46","9","43",".981","","2055","1458","12972.0","4324","1552","114","69","44","394","166","118","165","26","85","46","9","43",".981","","2","7","-5","-5","7","-8","2074","1752",".845","510","","48","-3.4","7.4","36.9","-10.6","30.3","4.2","55","0.1","36.4","","","","","","","","","","","",""
"Red Sox","2075","1457","13116.0","4372","1526","92","52","38","271","124","82","123","33","156","50","32","58",".985","","2075","1457","13116.0","4372","1526","92","52","38","271","124","82","123","33","156","50","32","58",".985","","0","-2","-7","-8","38","19","2169","1830",".844","489","","16","-3.5","0.1","42.1","5.3","44.0","5.3","70","-6.6","30.4","","","","","","","","","","","",""
"Yankees","2134","1458","13125.0","4375","1569","102","54","48","318","145","98","143","43","128","49","7","67",".983","","2134","1458","13125.0","4375","1569","102","54","48","318","145","98","143","43","128","49","7","67",".983","","0","0","6","6","-9","20","2209","1834",".830","512","","16","7.3","1.2","16.9","-1.5","23.8","4.6","76","-0.5","22.4","","","","","","","","","","","",""
"Padres","2161","1457","13044.0","4348","1694","94","52","41","339","141","110","140","28","141","60","10","45",".985","","2161","1457","13044.0","4348","1694","94","52","41","339","141","110","140","28","141","60","10","45",".985","","-2","-4","-3","8","36","27","2093","1774",".848","479","","-7","-4.1","-4.8","25.2","5.7","22.0","1.8","61","1.0","20.0","","","","","","","","","","","",""
"Giants","2241","1458","13212.0","4404","1657","104","63","40","282","127","86","128","41","124","59","14","42",".983","","2241","1458","13212.0","4404","1657","104","63","40","282","127","86","128","41","124","59","14","42",".983","","6","1","1","-8","-1","28","2045","1732",".847","501","","-9","0.8","0.5","1.7","2.0","5.0","0.9","68","2.5","14.5","","","","","","","","","","","",""
"Brewers","2113","1458","12975.0","4325","1587","111","64","45","321","131","108","131","30","102","37","4","70",".982","","2113","1458","12975.0","4325","1587","111","64","45","321","131","108","131","30","102","37","4","70",".982","","-6","6","-8","1","18","32","2150","1789",".832","511","","-62","-8.7","2.1","36.0","-11.3","18.1","1.1","74","-1.0","11.1","","","","","","","","","","","",""
"Dodgers","2147","1449","12888.0","4296","1511","85","40","45","267","121","87","122","35","116","40","8","50",".986","","2147","1449","12888.0","4296","1511","85","40","45","267","121","87","122","35","116","40","8","50",".986","","-1","0","5","7","-5","-2","2018","1700",".842","405","","-5","5.3","-2.1","0.8","3.6","7.6","1.8","67","1.8","7.3","","","","","","","","","","","",""
"Royals","1949","1458","13062.0","4354","1700","95","34","60","331","149","105","149","46","115","49","8","69",".985","","1949","1458","13062.0","4354","1700","95","34","60","331","149","105","149","46","115","49","8","69",".985","","4","-7","19","8","-1","11","2312","1939",".839","453","","5","19.3","-5.6","-20.2","4.9","-1.6","2.3","79","-0.5","3.9","","","","","","","","","","","",""
"Mariners","1925","1458","12897.0","4299","1623","108","58","47","352","152","111","152","46","110","46","11","68",".982","","1925","1458","12897.0","4299","1623","108","58","47","352","152","111","152","46","110","46","11","68",".982","","-2","3","-6","7","9","-5","2257","1891",".838","459","","5","2.1","4.3","3.2","-0.4","9.1","2.0","58","-6.6","-0.5","","","","","","","","","","","",""
"Nationals","2156","1449","13044.0","4348","1691","104","61","43","327","146","106","146","43","76","40","8","49",".983","","2156","1449","13044.0","4348","1691","104","61","43","327","146","106","146","43","76","40","8","49",".983","","4","0","19","4","-19","24","2333","1935",".829","488","","27","13.2","0.0","-23.7","-1.4","-11.8","0.6","68","2.1","-2.7","","","","","","","","","","","",""
"Cubs","2171","1458","12909.0","4303","1558","134","62","71","297","129","96","129","60","112","46","7","51",".978","","2171","1458","12909.0","4303","1558","134","62","71","297","129","96","129","60","112","46","7","51",".978","","0","-7","9","-6","-32","-33","2160","1763",".816","417","","-25","2.6","-4.7","5.9","-11.4","-7.7","-1.2","72","3.1","-3.6","","","","","","","","","","","",""
"Rockies","2160","1458","13029.0","4343","1758","98","54","44","361","156","111","157","29","99","49","17","65",".984","","2160","1458","13029.0","4343","1758","98","54","44","361","156","111","157","29","99","49","17","65",".984","","6","2","-7","-6","31","21","2223","1858",".836","458","","25","-3.0","4.2","-18.9","9.9","-7.8","-1.3","64","-6.0","-5.8","","","","","","","","","","","",""
"Twins","2037","1458","12795.0","4265","1621","119","56","62","372","153","122","153","37","96","44","12","47",".980","","2037","1458","12795.0","4265","1621","119","56","62","372","153","122","153","37","96","44","12","47",".980","","2","-2","-3","-4","-44","-52","2385","1971",".826","472","","-30","-1.6","-2.1","-3.5","-5.6","-12.8","-2.0","55","-1.9","-7.7","","","","","","","","","","","",""
"Phillies","1980","1458","13293.0","4431","1620","74","41","32","333","138","93","139","30","106","29","12","23",".988","","1980","1458","13293.0","4431","1620","74","41","32","333","138","93","139","30","106","29","12","23",".988","","-5","0","-3","-3","-30","-56","2175","1836",".844","402","","27","-1.3","-4.5","-10.4","11.3","-4.9","-1.4","47","2.8","-12.1","","","","","","","","","","","",""
"Tigers","2164","1458","12960.0","4320","1639","103","55","42","342","150","116","150","26","119","49","8","69",".983","","2164","1458","12960.0","4320","1639","103","55","42","342","150","116","150","26","119","49","8","69",".983","","-3","5","3","2","3","12","2283","1904",".834","488","","-6","3.3","3.6","-15.1","3.4","-4.8","0.2","57","-6.2","-13.0","","","","","","","","","","","",""
