"Name","Team","FP","E","playerid"
"Andrelton Simmons","LAA",".983","8","10847"
"Jose Iglesias","DET",".984","7","10231"
"Francisco Lindor","CLE",".972","13","12916"
"Matt Chapman","OAK",".962","14","16505"
"Kolten Wong","STL",".987","5","12532"
"Salvador Perez","KCR","1.000","0","7304"
"Marcus Semien","OAK",".964","19","12533"
"Lorenzo Cain","MIL",".988","3","9077"
"Leonys Martin","- - -",".992","2","11846"
"Willson Contreras","CHC",".989","10","11609"
"Didi Gregorius","NYY",".988","5","6012"
"Trea Turner","WSN",".980","10","16252"
"Jorge Alfaro","PHI",".989","9","12180"
"Xander Bogaerts","BOS",".981","8","12161"
"Ian Kinsler","- - -",".983","7","6195"
"Kyle Seager","SEA",".970","11","9785"
"Mike Zunino","SEA",".999","1","13265"
"James McCann","DET",".994","4","12859"
"Martin Maldonado","- - -",".995","4","6887"
"Francisco Cervelli","PIT",".995","3","5275"
"Jonathan Lucroy","OAK",".989","8","7870"
"Kevin Kiermaier","TBR","1.000","0","11038"
"Brandon Crawford","SFG",".982","9","5343"
"Jose Ramirez","CLE",".973","7","13510"
"Nick Ahmed","ARI",".987","6","12147"
"Jackie Bradley Jr.","BOS",".987","3","12984"
"Dansby Swanson","ATL",".977","9","18314"
"Nolan Arenado","COL",".973","9","9777"
"Anthony Rendon","WSN",".983","4","12861"
"Billy Hamilton","CIN",".993","2","10199"
"Tucker Barnhart","CIN",".997","2","10200"
"Orlando Arcia","MIL",".967","10","13185"
"Miguel Rojas","MIA",".993","2","7802"
"David Fletcher","LAA",".987","1","17992"
"Alex Gordon","KCR",".990","2","5209"
"J.T. Realmuto","MIA",".991","6","11739"
"Luke Maile","TOR",".987","6","13355"
"Yasmani Grandal","LAD",".993","6","11368"
"Keon Broxton","MIL","1.000","0","9253"
"Yadier Molina","STL",".997","2","7007"
"Tim Anderson","CHW",".968","15","15172"
"Bryan Holaday","MIA","1.000","0","11287"
"Addison Russell","CHC",".967","14","14106"
"Ozzie Albies","ATL",".984","8","16556"
"Ender Inciarte","ATL",".983","5","4922"
"DJ LeMahieu","COL",".991","4","9874"
"Yan Gomes","CLE",".990","8","9627"
"Buster Posey","SFG",".997","2","9166"
"Manny Pina","MIL",".994","4","2829"
"Elias Diaz","PIT",".983","8","11680"
"J.T. Riddle","MIA",".988","3","17642"
"Gary Sanchez","NYY",".993","4","11442"
"Harrison Bader","STL","1.000","0","18030"
"Aaron Hicks","NYY",".995","1","5297"
"Rougned Odor","TEX",".985","6","12282"
"Jarrod Dyson","ARI",".990","1","4866"
"Spencer Kieboom","WSN",".985","3","13300"
"Tyler Flowers","ATL",".998","1","9134"
"Mookie Betts","BOS",".995","1","13611"
"Sandy Leon","BOS",".998","1","5273"
"Max Stassi","HOU",".999","1","10059"
"Wilson Ramos","- - -",".992","5","1433"
"Wilmer Difo","WSN",".988","3","14320"
"Paul DeJong","STL",".972","9","18015"
