"Name","Team","PA","HR","R","RBI","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","H","2B","playerid"
"Mookie Betts","Red Sox","475","27","100","64",".312",".357",".346",".434",".658",".453","189","141","36","13611"
"Mike Trout","Angels","482","30","82","60",".315",".343",".309",".459",".624",".445","190","115","21","10155"
"J.D. Martinez","Red Sox","507","38","92","106",".333",".375",".333",".404",".667",".444","182","149","33","6184"
"Jose Ramirez","Indians","531","37","85","91",".335",".274",".301",".412",".636",".432","176","133","31","13510"
"Nolan Arenado","Rockies","504","30","80","85",".270",".328",".309",".391",".580",".408","142","136","25","9777"
"Aaron Judge","Yankees","447","26","70","61",".263",".377",".285",".398",".548",".401","156","106","20","15640"
"Paul Goldschmidt","Diamondbacks","544","28","78","71",".254",".360",".293",".397",".547",".400","152","136","26","9218"
"Matt Carpenter","Cardinals","518","33","83","68",".306",".290",".269",".386",".575",".398","153","116","33","8090"
"Freddie Freeman","Braves","542","20","76","77",".210",".367",".320",".402",".530",".394","149","151","33","5361"
"Jesus Aguilar","Brewers","413","29","61","89",".299",".310",".280",".366",".579",".394","146","99","19","11342"
"Eugenio Suarez","Reds","461","26","63","89",".253",".335",".296",".377",".549",".389","144","118","19","12552"
"Francisco Lindor","Indians","567","29","102","76",".258",".301",".292",".372",".550",".389","146","145","39","12916"
"Manny Machado","- - -","539","28","61","75",".241",".316",".304",".378",".545",".384","145","145","27","11493"
"Alex Bregman","Astros","542","23","78","75",".237",".280",".277",".382",".514",".384","149","127","38","17678"
"Brandon Nimmo","Mets","413","15","65","39",".238",".360",".265",".387",".503",".384","145","91","21","12927"
"Christian Yelich","Brewers","479","19","84","61",".210",".378",".309",".372",".520",".381","137","134","26","11477"
"Trevor Story","Rockies","513","25","64","83",".255",".353",".294",".351",".549",".379","123","137","34","12564"
"Shin-Soo Choo","Rangers","537","20","69","57",".196",".348",".281",".394",".477",".377","136","126","26","3174"
"Andrew Benintendi","Red Sox","516","15","87","70",".201",".334",".299",".380",".500",".376","136","134","33","17901"
"Nelson Cruz","Mariners","446","30","52","78",".269",".268",".267",".354",".536",".376","143","104","13","2434"
"Bryce Harper","Nationals","528","30","78","79",".267",".280",".248",".383",".514",".376","135","105","23","11579"
"David Peralta","Diamondbacks","477","22","60","64",".228",".339",".299",".358",".526",".375","135","130","23","2136"
"Giancarlo Stanton","Yankees","541","32","81","79",".259",".353",".285",".351",".544",".375","138","136","26","4949"
"Rhys Hoskins","Phillies","492","25","71","77",".252",".292",".257",".369",".510",".375","135","106","29","16472"
"Joey Votto","Reds","509","9","58","55",".135",".334",".284",".422",".419",".372","132","116","24","4314"
"Jose Altuve","Astros","454","9","64","46",".135",".363",".329",".392",".464",".370","139","134","24","5417"
"Matt Chapman","Athletics","448","16","72","44",".224",".332",".276",".362",".500",".369","137","108","28","16505"
