"Name","Team","ERA","ShO","SV","H","R","ER","BB","SO","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","Starting","Relieving","Start-IP","Relief-IP","K%","BB%","Age","playerid"
"Jacob deGrom","Mets","1.71","0","0","125","38","32","36","204","10.93","1.93","5.67","6.70","0.43",".204","0.96",".291","82.7 %","2.09","56.2","","168.0","","31.2 %","5.5 %","30","10954"
"Chris Sale","Red Sox","1.97","0","0","91","34","32","33","219","13.50","2.03","6.64","5.61","0.62",".174","0.85",".276","83.5 %","1.96","52.0","","146.0","","38.7 %","5.8 %","29","10603"
"Blake Snell","Rays","2.10","0","0","85","33","31","50","149","10.08","3.38","2.98","5.75","0.88",".180","1.02",".233","87.4 %","3.34","26.0","","133.0","","28.5 %","9.6 %","25","13543"
"Max Scherzer","Nationals","2.11","1","0","114","45","41","41","234","12.06","2.11","5.71","5.87","0.88",".181","0.89",".256","84.8 %","2.59","51.5","","174.2","","34.5 %","6.0 %","33","3137"
"Trevor Bauer","Indians","2.22","0","0","125","49","41","56","214","11.60","3.04","3.82","6.78","0.43",".203","1.09",".298","78.9 %","2.39","51.8","","166.0","","31.5 %","8.2 %","27","12703"
"Aaron Nola","Phillies","2.24","0","0","114","40","40","44","160","8.94","2.46","3.64","6.37","0.45",".196","0.98",".256","81.0 %","2.73","44.4","","161.0","","25.4 %","7.0 %","25","16149"
"Justin Verlander","Astros","2.52","1","0","122","49","46","28","217","11.88","1.53","7.75","6.68","1.26",".201","0.91",".269","86.5 %","2.98","43.1","","164.1","","33.8 %","4.4 %","35","8700"
"Corey Kluber","Indians","2.68","1","0","133","56","50","22","160","8.57","1.18","7.27","7.13","1.13",".214","0.92",".254","79.2 %","3.31","36.0","","168.0","","24.8 %","3.4 %","32","2429"
"Gerrit Cole","Astros","2.71","1","0","107","51","48","50","219","12.34","2.82","4.38","6.03","0.79",".187","0.98",".275","78.1 %","2.61","46.5","","159.2","","34.9 %","8.0 %","27","13125"
"Mike Foltynewicz","Braves","2.72","1","0","106","48","42","54","161","10.42","3.50","2.98","6.86","0.91",".206","1.15",".271","80.2 %","3.39","27.7","","139.0","","28.2 %","9.4 %","26","10811"
