"Name","Team","ERA","ShO","SV","H","R","ER","BB","SO","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","Starting","Relieving","Start-IP","Relief-IP","K%","BB%","Age","playerid"
"Blake Treinen","Athletics","0.87","0","32","41","10","6","20","86","12.48","2.90","4.30","5.95","0.15",".177","0.98",".278","85.6 %","1.57","","30.8","","62.0","34.3 %","8.0 %","30","12572"
"Collin McHugh","Astros","1.12","0","0","28","9","7","14","72","11.50","2.24","5.14","4.47","0.64",".146","0.75",".207","91.8 %","2.54","","11.4","","56.1","34.1 %","6.6 %","31","7531"
"Jeremy Jeffress","Brewers","1.27","0","4","39","9","8","19","64","10.16","3.02","3.37","6.19","0.48",".191","1.02",".263","91.1 %","2.60","","15.2","","56.2","28.7 %","8.5 %","30","9490"
"Jared Hughes","Reds","1.30","0","7","46","9","9","17","48","6.93","2.45","2.82","6.64","0.29",".210","1.01",".260","90.0 %","2.95","","11.7","","62.1","20.2 %","7.1 %","32","9325"
"Sean Doolittle","Nationals","1.45","0","22","17","6","6","3","49","11.81","0.72","16.33","4.10","0.72",".134","0.54",".187","89.9 %","1.98","","15.2","","37.1","37.1 %","2.3 %","31","1581"
"Josh Hader","Brewers","1.54","0","9","24","11","10","23","104","16.05","3.55","4.52","3.70","0.62",".123","0.81",".230","87.0 %","1.67","","23.9","","58.1","47.7 %","10.6 %","24","14212"
"Adam Ottavino","Rockies","1.67","0","5","32","14","11","25","85","12.89","3.79","3.40","4.85","0.46",".157","0.96",".250","82.4 %","2.37","","18.3","","59.1","36.6 %","10.8 %","32","1247"
"Lou Trivino","Athletics","1.68","0","4","37","11","11","26","65","9.92","3.97","2.50","5.64","0.61",".180","1.07",".241","90.6 %","3.16","","9.1","","59.0","28.0 %","11.2 %","24","15043"
"Kirby Yates","Padres","1.71","0","4","32","9","9","13","65","12.36","2.47","5.00","6.08","0.57",".185","0.95",".276","89.3 %","2.32","","12.8","","47.1","34.2 %","6.8 %","31","9073"
"Steve Cishek","Cubs","1.78","0","3","36","13","11","20","62","10.02","3.23","3.10","5.82","0.32",".181","1.01",".252","82.8 %","2.80","","11.5","","55.2","27.6 %","8.9 %","32","6483"
"T.J. McFarland","Diamondbacks","1.88","0","1","62","16","14","19","37","4.97","2.55","1.95","8.33","0.54",".246","1.21",".275","86.2 %","3.69","","3.9","","67.0","13.7 %","7.0 %","29","3237"
"David Hernandez","Reds","1.89","0","0","32","11","10","13","45","8.50","2.45","3.46","6.04","0.57",".187","0.94",".236","84.8 %","3.16","","7.6","","47.2","23.9 %","6.9 %","33","4259"
"Andrew Chafin","Diamondbacks","1.93","0","0","30","10","9","20","44","9.43","4.29","2.20","6.43","0.00",".199","1.19",".280","80.8 %","2.64","","8.6","","42.0","25.4 %","11.6 %","28","12988"
"Jose Leclerc","Rangers","1.97","0","4","22","16","10","20","67","13.20","3.94","3.35","4.34","0.20",".140","0.92",".236","65.7 %","1.96","","19.4","","45.2","37.4 %","11.2 %","24","14524"
"Will Smith","Giants","2.01","0","10","24","10","9","10","56","12.50","2.23","5.60","5.36","0.45",".167","0.84",".256","76.9 %","1.77","","16.3","","40.1","36.4 %","6.5 %","28","8048"
"Yoshihisa Hirano","Diamondbacks","2.05","0","0","36","15","12","17","43","7.35","2.91","2.53","6.15","0.68",".196","1.01",".234","81.0 %","3.60","","4.8","","52.2","21.2 %","8.4 %","34","19756"
"Robbie Erlin","Padres","2.05","0","0","38","13","12","4","44","7.52","0.68","11.00","6.49","0.68",".204","0.80",".246","79.7 %","2.71","","7.4","","52.2","23.2 %","2.1 %","27","10354"
"Edwin Diaz","Mariners","2.07","0","47","33","15","14","15","105","15.49","2.21","7.00","4.87","0.59",".156","0.79",".284","79.7 %","1.51","","29.7","","61.0","45.7 %","6.5 %","24","14710"
"Victor Arano","Phillies","2.09","0","3","38","11","11","14","51","9.70","2.66","3.64","7.23","0.38",".213","1.10",".288","83.7 %","2.51","","11.0","","47.1","26.4 %","7.3 %","23","15915"
"Reyes Moronta","Giants","2.10","0","1","26","15","13","31","65","10.51","5.01","2.10","4.20","0.32",".138","1.02",".197","77.5 %","2.97","","11.6","","55.2","29.6 %","14.1 %","25","14966"
"Aroldis Chapman","Yankees","2.11","0","31","22","12","11","26","84","16.09","4.98","3.23","4.21","0.19",".136","1.02",".273","79.5 %","1.84","","18.3","","47.0","43.5 %","13.5 %","30","10233"
"Kenley Jansen","Dodgers","2.15","0","32","35","16","13","14","61","10.10","2.32","4.36","5.80","0.99",".174","0.90",".216","81.3 %","3.13","","11.1","","54.1","28.4 %","6.5 %","30","3096"
"Tony Watson","Giants","2.19","0","0","43","13","13","11","53","8.94","1.86","4.82","7.26","0.51",".217","1.01",".282","82.7 %","2.58","","12.2","","53.1","25.2 %","5.2 %","33","3132"
"Kyle Crick","Pirates","2.27","0","2","37","14","12","20","51","9.63","3.78","2.55","6.99","0.19",".204","1.20",".279","78.9 %","2.81","","9.5","","47.2","24.9 %","9.8 %","25","13182"
"Dellin Betances","Yankees","2.28","0","0","28","14","13","20","90","15.78","3.51","4.50","4.91","0.88",".156","0.94",".274","84.4 %","2.33","","13.7","","51.1","44.3 %","9.9 %","30","6216"
"Seranthony Dominguez","Phillies","2.28","0","14","24","11","11","13","56","11.63","2.70","4.31","4.98","0.62",".158","0.85",".226","81.0 %","2.59","","12.4","","43.1","33.3 %","7.7 %","23","19249"
"Raisel Iglesias","Reds","2.29","0","23","39","15","14","15","60","9.82","2.45","4.00","6.38","1.31",".195","0.98",".235","91.5 %","3.80","","4.9","","55.0","27.7 %","6.9 %","28","17130"
"Hector Rondon","Astros","2.42","0","13","36","13","12","14","54","10.88","2.82","3.86","7.25","0.60",".214","1.12",".297","80.8 %","2.56","","11.2","","44.2","29.7 %","7.7 %","30","2391"
"Joakim Soria","- - -","2.44","0","16","39","15","12","13","55","11.17","2.64","4.23","7.92","0.61",".224","1.17",".310","77.9 %","2.51","","12.6","","43.4","29.3 %","6.9 %","34","6941"
"Craig Kimbrel","Red Sox","2.47","0","37","29","14","14","23","77","13.59","4.06","3.35","5.12","1.24",".163","1.02",".234","90.3 %","3.34","","10.8","","51.0","38.1 %","11.4 %","30","6655"
"Jose Alvarado","Rays","2.49","0","4","37","17","14","24","53","9.41","4.26","2.21","6.57","0.18",".198","1.20",".271","74.3 %","2.81","","10.7","","50.2","25.0 %","11.3 %","23","17780"
