,FIELD_E,FIELD_DP,FIELD_SB,FIELD_CS,FIELD_PB,FIELD_WP,FIELD_FP,FIELD_PO,OFF_PA,OFF_HR,OFF_R,OFF_RBI,OFF_SB,OFF_ISO,OFF_BABIP,OFF_AVG,OFF_OBP,OFF_SLG,OFF_wOBA,OFF_wRC+,OFF_H,OFF_1B,OFF_2B,OFF_3B,OFF_BB,OFF_IBB,OFF_SO,OFF_HBP,OFF_SF,OFF_GDP,OFF_CS,OFF_BB%,OFF_K%,OFF_BB/K,W,L,PITCH_ERA,PITCH_CG,PITCH_ShO,PITCH_SV,PITCH_H,PITCH_R,PITCH_ER,PITCH_HR,PITCH_BB,PITCH_IBB,PITCH_HBP,PITCH_WP,PITCH_BK,PITCH_SO,PITCH_K/9,PITCH_BB/9,PITCH_K/BB,PITCH_H/9,PITCH_HR/9,PITCH_AVG,PITCH_WHIP,PITCH_BABIP,PITCH_LOB%,PITCH_FIP,PITCH_Starting,PITCH_Relieving,PITCH_Start-IP,PITCH_Relief-IP,PITCH_K%,PITCH_BB%,PITCH_Age
0,106,392,156,65,29,70,0.983,4329,6444,207,965,907,153,0.172,0.317,0.28800000000000003,0.364,0.46,0.36,116,1625,1097,290,31,653,34,1025,57,59,145,63,0.10099999999999999,0.159,0.64,106,56,3.25,24,14,45,1291,581,520,117,467,37,35,51,3,1232,7.71,2.92,2.64,8.08,0.73,0.236,1.22,0.285,0.7440000000000001,3.53,230.9,24.8,1072.8,361.2,0.207,0.078,29
1,81,394,182,53,12,51,0.987,4293,6401,201,940,894,82,0.173,0.321,0.289,0.35700000000000004,0.462,0.35700000000000004,108,1637,1090,314,32,595,27,1045,39,54,137,47,0.09300000000000001,0.163,0.57,102,60,3.5,12,7,44,1435,620,572,147,465,25,42,50,5,1187,7.26,2.84,2.55,8.78,0.9,0.251,1.29,0.295,0.7609999999999999,3.86,151.2,27.5,1057.7,409.9,0.191,0.075,27
2,105,337,132,58,35,62,0.983,4307,6331,234,859,823,115,0.192,0.302,0.276,0.345,0.468,0.353,109,1554,971,321,28,558,26,1082,57,49,107,39,0.08800000000000001,0.171,0.52,98,64,3.63,14,5,59,1384,635,587,139,501,45,49,63,6,1217,7.53,3.1,2.43,8.56,0.86,0.247,1.3,0.293,0.747,3.84,166.8,35.3,1031.1,416.8,0.198,0.08199999999999999,29
3,140,455,122,59,8,58,0.977,4315,6302,205,876,827,72,0.183,0.31,0.28,0.348,0.463,0.35200000000000004,107,1568,990,338,35,541,32,1049,70,52,144,39,0.086,0.166,0.52,88,74,3.77,9,3,46,1381,645,611,152,532,59,68,40,11,1129,6.97,3.28,2.12,8.52,0.94,0.248,1.31,0.287,0.7559999999999999,4.18,128.1,15.7,1020.8,433.0,0.183,0.086,30
4,110,396,110,47,8,35,0.982,4382,6277,183,826,791,67,0.16899999999999998,0.321,0.29100000000000004,0.34700000000000003,0.461,0.35100000000000003,87,1640,1088,333,36,469,29,949,37,41,148,47,0.075,0.151,0.49,83,79,3.81,16,6,47,1332,678,612,135,587,26,56,46,9,1178,7.33,3.65,2.01,8.28,0.84,0.241,1.33,0.284,0.726,4.06,155.0,16.8,1041.1,399.0,0.191,0.095,27
5,115,452,120,69,14,60,0.982,4340,6304,214,817,783,86,0.174,0.29100000000000004,0.273,0.34700000000000003,0.447,0.34700000000000003,109,1520,992,303,11,593,30,903,58,44,136,48,0.094,0.14300000000000002,0.66,114,48,3.82,22,8,48,1357,656,619,156,466,25,68,37,5,1080,6.67,2.88,2.32,8.38,0.96,0.244,1.25,0.277,0.738,4.15,184.2,28.2,1059.7,392.3,0.177,0.076,28
6,125,461,80,43,11,72,0.98,4309,6441,166,874,818,155,0.156,0.321,0.28,0.35600000000000004,0.436,0.34700000000000003,113,1578,1058,326,28,621,52,1122,72,49,146,51,0.096,0.174,0.55,69,93,3.91,7,2,41,1433,718,629,147,530,53,31,45,14,1112,6.91,3.29,2.1,8.9,0.91,0.253,1.35,0.292,0.7140000000000001,4.08,131.4,41.0,988.1,456.0,0.179,0.085,27
7,108,359,101,45,11,55,0.982,4343,6376,198,850,811,143,0.17600000000000002,0.302,0.272,0.34700000000000003,0.448,0.34700000000000003,103,1530,968,334,30,630,35,1061,41,59,123,61,0.099,0.166,0.59,89,74,4.19,6,3,44,1457,739,687,171,562,68,52,58,3,1089,6.64,3.42,1.94,8.88,1.04,0.253,1.37,0.287,0.727,4.42,70.0,50.3,963.5,507.9,0.171,0.08800000000000001,31
8,98,386,102,51,12,37,0.984,4368,6217,215,826,794,98,0.181,0.3,0.272,0.342,0.453,0.34600000000000003,108,1489,951,297,26,548,37,1062,61,46,104,43,0.08800000000000001,0.171,0.52,92,70,4.19,5,2,53,1406,729,668,168,504,33,53,62,2,1025,6.42,3.16,2.03,8.81,1.05,0.252,1.33,0.282,0.7140000000000001,4.4,114.0,42.8,935.1,496.0,0.16699999999999998,0.08199999999999999,28
9,141,426,103,48,13,68,0.977,4302,6323,221,816,776,184,0.182,0.295,0.266,0.34,0.448,0.343,102,1482,926,316,19,564,43,1132,87,49,108,81,0.08900000000000001,0.179,0.5,88,74,4.29,10,5,47,1443,768,698,169,587,26,45,34,4,1154,7.09,3.61,1.97,8.86,1.04,0.252,1.39,0.29,0.711,4.36,156.1,25.1,1060.9,398.5,0.182,0.092,29
10,125,368,127,49,11,61,0.979,4272,6281,198,861,806,127,0.172,0.29100000000000004,0.271,0.339,0.444,0.341,103,1516,989,291,38,551,34,916,47,59,119,46,0.08800000000000001,0.146,0.6,83,79,4.32,6,2,44,1513,782,706,151,558,38,54,42,14,972,5.95,3.42,1.74,9.27,0.92,0.262,1.41,0.292,0.7020000000000001,4.4,123.8,-0.3,931.8,530.4,0.152,0.087,28
11,94,482,97,61,19,43,0.985,4328,6484,161,845,800,102,0.147,0.308,0.274,0.353,0.421,0.34,108,1540,1061,292,26,678,53,1040,44,53,123,50,0.105,0.16,0.65,63,99,4.35,7,2,28,1425,751,698,171,643,27,81,43,3,1008,6.29,4.01,1.57,8.89,1.07,0.257,1.43,0.287,0.732,4.79,79.0,30.9,937.5,497.8,0.161,0.10300000000000001,27
12,121,363,64,55,10,62,0.98,4294,6413,223,810,781,133,0.183,0.289,0.258,0.341,0.441,0.34,104,1444,899,292,30,676,65,1179,42,34,117,41,0.105,0.184,0.57,65,97,4.39,4,0,39,1448,783,696,156,533,39,57,50,12,1017,6.41,3.36,1.91,9.13,0.98,0.258,1.39,0.29100000000000004,0.69,4.38,82.5,37.4,904.8,518.0,0.16399999999999998,0.086,25
