"","Rank","Movie","ReleaseDate","Distributor","Genre","MPAA","2018 Gross","Tickets Sold"
"1","1","Black Panther","2/16/2018","Walt Disney","Action","PG-13","$700,059,566","78,044,544"
"2","2","Avengers: Infinity War","4/27/2018","Walt Disney","Action","PG-13","$678,815,482","75,676,196"
"3","3","Incredibles 2","6/15/2018","Walt Disney","Adventure","PG","$608,517,638","67,839,201"
"4","4","Jurassic World: Fallen Kingdom","6/22/2018","Universal","Action","PG-13","$416,769,345","46,462,580"
"5","5","Deadpool 2","5/18/2018","20th Century Fox","Action","R","$318,491,426","35,506,290"
"6","6","Jumanji: Welcome to the Jungle","12/20/2017","Sony Pictures","Adventure","PG-13","$235,506,359","26,254,889"
"7","7","Mission: Impossible—Fallout","7/27/2018","Paramount Pictures","Action","PG-13","$220,159,104","24,543,935"
"8","8","Ant-Man and the Wasp","7/6/2018","Walt Disney","Action","PG-13","$216,648,740","24,152,590"
"9","9","Solo: A Star Wars Story","5/25/2018","Walt Disney","Adventure","PG-13","$213,767,512","23,831,383"
"10","10","Venom","10/5/2018","Sony Pictures","Action","PG-13","$211,890,652","23,622,146"
"11","11","A Star is Born","10/5/2018","Warner Bros.","Drama","R","$191,917,436","21,395,477"
"12","12","A Quiet Place","4/6/2018","Paramount Pictures","Horror","PG-13","$188,024,361","20,961,467"
"13","13","Dr. Seuss’ The Grinch","11/9/2018","Universal","Adventure","PG","$185,779,195","20,711,170"
"14","14","Crazy Rich Asians","8/15/2018","Warner Bros.","Romantic Comedy","PG-13","$173,907,689","19,387,702"
"15","15","Hotel Transylvania 3: Summer Vacation","7/13/2018","Sony Pictures","Adventure","PG","$167,508,127","18,674,261"
"16","16","Halloween","10/19/2018","Universal","Horror","R","$159,136,450","17,740,964"
"17","17","Bohemian Rhapsody","11/2/2018","20th Century Fox","Drama","PG-13","$156,323,150","17,427,329"
"18","18","The Meg","8/10/2018","Warner Bros.","Action","PG-13","$143,005,856","15,942,681"
"19","19","Ocean’s 8","6/8/2018","Warner Bros.","Action","PG-13","$139,377,762","15,538,212"
"20","20","Ready Player One","3/29/2018","Warner Bros.","Adventure","PG-13","$137,018,455","15,275,190"
"21","21","The Greatest Showman","12/20/2017","20th Century Fox","Musical","PG","$125,303,456","13,969,170"
"22","22","Fantastic Beasts: The Crimes of Grindelwald","11/16/2018","Warner Bros.","Adventure","PG-13","$123,141,406","13,728,138"
"23","23","Mamma Mia: Here We Go Again!","7/20/2018","Universal","Musical","PG-13","$120,634,935","13,448,710"
"24","24","The Nun","9/7/2018","Warner Bros.","Horror","R","$117,450,119","13,093,658"
"25","25","Peter Rabbit","2/9/2018","Sony Pictures","Adventure","PG","$115,234,093","12,846,610"
"26","26","Star Wars Ep. VIII: The Last Jedi","12/15/2017","Walt Disney","Adventure","PG-13","$102,963,014","11,478,596"
"27","27","The Equalizer 2","7/20/2018","Sony Pictures","Action","R","$102,084,362","11,380,642"
"28","28","A Wrinkle in Time","3/9/2018","Walt Disney","Adventure","PG","$100,478,608","11,201,628"
"29","29","Fifty Shades Freed","2/9/2018","Universal","Drama","R","$100,407,760","11,193,730"
"30","30","Rampage","4/13/2018","Warner Bros.","Action","PG-13","$99,345,950","11,075,356"
"31","31","Christopher Robin","8/3/2018","Walt Disney","Adventure","PG","$99,215,042","11,060,762"
"32","32","Ralph Breaks The Internet","11/21/2018","Walt Disney","Adventure","PG","$93,538,233","10,427,896"
"33","33","I Can Only Imagine","3/16/2018","Roadside Attractions","Drama","PG","$83,482,352","9,306,839"
"34","34","Smallfoot","9/28/2018","Warner Bros.","Adventure","PG","$81,992,926","9,140,794"
"35","35","The Post","12/22/2017","20th Century Fox","Drama","PG-13","$80,143,337","8,934,597"
"36","36","Night School","9/28/2018","Universal","Comedy","PG-13","$76,898,240","8,572,824"
"37","37","The First Purge","7/4/2018","Universal","Horror","R","$69,086,325","7,701,931"
"38","38","Game Night","2/23/2018","Warner Bros.","Comedy","R","$69,001,013","7,692,420"
"39","39","Book Club","5/18/2018","Paramount Pictures","Comedy","PG-13","$68,566,296","7,643,957"
"40","40","The House with a Clock in its Walls","9/21/2018","Universal","Horror","PG","$68,311,535","7,615,555"
"41","41","Skyscraper","7/13/2018","Universal","Action","PG","$67,796,355","7,558,122"
"42","42","Insidious: The Last Key","1/5/2018","Universal","Horror","PG-13","$67,347,895","7,508,126"
"43","43","Creed II","11/21/2018","MGM","Drama","PG-13","$64,336,284","7,172,383"
"44","44","Blockers","4/6/2018","Universal","Comedy","R","$59,839,515","6,671,071"
"45","45","Pacific Rim: Uprising","3/23/2018","Universal","Action","PG-13","$59,185,715","6,598,184"
"46","46","Maze Runner: The Death Cure","1/26/2018","20th Century Fox","Thriller/Suspense","PG-13","$58,032,443","6,469,614"
"47","47","Tomb Raider","3/16/2018","Warner Bros.","Action","PG-13","$57,421,715","6,401,528"
"48","48","2001: A Space Odyssey","4/2/1968","MGM","Adventure","G","$57,147,963","6,371,010"
"49","49","Tag","6/15/2018","Warner Bros.","Comedy","R","$54,547,470","6,081,100"
"50","50","A Simple Favor","9/14/2018","Lionsgate","Thriller/Suspense","R","$53,548,586","5,969,742"
"51","51","Life of the Party","5/11/2018","Warner Bros.","Comedy","PG-13","$52,856,061","5,892,537"
"52","52","The Predator","9/14/2018","20th Century Fox","Action","R","$51,024,708","5,688,373"
"53","53","Overboard","5/4/2018","Lionsgate","Romantic Comedy","PG-13","$50,316,123","5,609,378"
"54","54","Sicario: Day of the Soldado","6/29/2018","Sony Pictures","Action","R","$50,065,850","5,581,477"
"55","55","The Nutcracker and the Four Realms","11/2/2018","Walt Disney","Adventure","PG","$49,759,909","5,547,370"
"56","56","I Feel Pretty","4/20/2018","STX Entertainment","Comedy","PG-13","$48,795,601","5,439,866"
"57","57","BlacKkKlansman","8/10/2018","Focus Features","Thriller/Suspense","R","$48,271,960","5,381,489"
"58","58","The Shape of Water","12/1/2017","Fox Searchlight","Drama","R","$48,189,258","5,372,269"
"59","59","Red Sparrow","3/2/2018","20th Century Fox","Thriller/Suspense","R","$46,874,505","5,225,697"
"60","60","Goosebumps 2: Haunted Halloween","10/12/2018","Sony Pictures","Horror","PG","$46,489,591","5,182,786"
"61","61","Breaking In","5/11/2018","Universal","Thriller/Suspense","PG-13","$46,383,120","5,170,916"
"62","62","12 Strong","1/19/2018","Warner Bros.","Drama","R","$45,500,164","5,072,482"
"63","63","Den of Thieves","1/19/2018","STX Entertainment","Action","R","$44,947,622","5,010,883"
"64","64","First Man","10/12/2018","Universal","Drama","PG-13","$44,607,615","4,972,978"
"65","65","Hereditary","6/8/2018","A24","Horror","R","$44,069,456","4,912,982"
"66","66","Acrimony","3/30/2018","Lionsgate","Thriller/Suspense","R","$43,549,096","4,854,971"
"67","67","Sherlock Gnomes","3/23/2018","Paramount Pictures","Adventure","PG","$43,242,871","4,820,832"
"68","68","Uncle Drew","6/29/2018","Lionsgate","Comedy","PG-13","$42,469,946","4,734,665"
"69","69","Pitch Perfect 3","12/22/2017","Universal","Comedy","PG-13","$41,596,925","4,637,338"
"70","70","Love, Simon","3/16/2018","20th Century Fox","Drama","PG-13","$40,826,341","4,551,431"
"71","71","Truth or Dare","4/13/2018","Universal","Thriller/Suspense","PG-13","$40,717,020","4,539,244"
"72","72","Paddington 2","1/12/2018","Warner Bros.","Adventure","PG","$40,442,052","4,508,589"
"73","73","Instant Family","11/16/2018","Paramount Pictures","Comedy","PG-13","$38,777,769","4,323,051"
"74","74","Darkest Hour","11/22/2017","Focus Features","Drama","PG-13","$38,310,263","4,270,932"
"75","75","The Commuter","1/12/2018","Lionsgate","Action","PG-13","$36,343,858","4,051,712"
"76","76","The 15:17 to Paris","2/9/2018","Warner Bros.","Drama","PG-13","$36,250,957","4,041,355"
"77","77","Mile 22","8/17/2018","STX Entertainment","Action","R","$36,108,758","4,025,502"
"78","78","Alpha","8/17/2018","Sony Pictures","Adventure","PG-13","$35,851,379","3,996,809"
"79","79","Peppermint","9/7/2018","STX Entertainment","Action","R","$35,418,723","3,948,575"
"80","80","Death Wish","3/2/2018","MGM","Action","R","$34,017,028","3,792,310"
"81","81","The Spy Who Dumped Me","8/3/2018","Lionsgate","Comedy","R","$33,562,069","3,741,590"
"82","82","Annihilation","2/23/2018","Paramount Pictures","Thriller/Suspense","R","$32,732,301","3,649,085"
"83","83","Isle of Dogs","3/23/2018","Fox Searchlight","Comedy","PG-13","$32,015,231","3,569,145"
"84","84","Adrift","6/1/2018","STX Entertainment","Drama","PG-13","$31,445,011","3,505,575"
"85","85","Ferdinand","12/15/2017","20th Century Fox","Adventure","PG","$30,863,663","3,440,765"
"86","86","Nobody’s Fool","11/2/2018","Paramount Pictures","Drama","R","$30,688,059","3,421,188"
"87","87","Super Troopers 2","4/20/2018","20th Century Fox","Comedy","R","$30,617,396","3,413,310"
"88","88","Slender Man","8/10/2018","Sony Pictures","Horror","PG-13","$30,564,825","3,407,449"
"89","89","Three Billboards Outside Ebbing, Missouri","11/10/2017","Fox Searchlight","Black Comedy","R","$30,349,111","3,383,401"
"90","90","Coco","11/22/2017","Walt Disney","Musical","PG","$29,891,816","3,332,420"
"91","91","Hostiles","12/22/2017","Entertainment Studios Motion Pictures","Western","R","$29,733,369","3,314,756"
"92","92","Teen Titans Go! To The Movies","7/27/2018","Warner Bros.","Adventure","PG","$29,562,341","3,295,690"
"93","93","The Hate U Give","10/19/2018","20th Century Fox","Drama","PG-13","$29,016,139","3,234,798"
"94","94","Widows","11/16/2018","20th Century Fox","Thriller/Suspense","R","$28,660,245","3,195,122"
"95","95","I, Tonya","12/8/2017","Neon","Black Comedy","R","$27,663,198","3,083,968"
"96","96","Searching","8/24/2018","Sony Pictures","Thriller/Suspense","PG-13","$26,015,149","2,900,239"
"97","97","Winchester","2/2/2018","CBS Films","Thriller/Suspense","PG-13","$25,091,816","2,797,303"
"98","98","The Strangers: Prey at Night","3/9/2018","Aviron Pictures","Horror","R","$24,431,472","2,723,686"
"99","99","White Boy Rick","9/14/2018","Sony Pictures","Drama","R","$24,004,833","2,676,124"
"100","100","Molly’s Game","12/25/2017","STX Entertainment","Drama","R","$23,403,264","2,609,059"
"101","101","Won’t You Be My Neighbor?","6/8/2018","Focus Features","Documentary","PG-13","$22,609,437","2,520,561"
"102","102","Proud Mary","1/12/2018","Sony Pictures","Action","R","$20,868,638","2,326,492"
"103","103","The Happytime Murders","8/24/2018","STX Entertainment","Black Comedy","R","$20,706,452","2,308,411"
"104","104","Overlord","11/9/2018","Paramount Pictures","Action","R","$20,609,015","2,297,549"
"105","105","Superfly","6/13/2018","Sony Pictures","Action","R","$20,537,137","2,289,535"
"106","106","Phantom Thread","12/25/2017","Focus Features","Drama","R","$20,495,435","2,284,886"
"107","107","Bad Times at the El Royale","10/12/2018","20th Century Fox","Thriller/Suspense","R","$17,820,724","1,986,702"
"108","108","Show Dogs","5/18/2018","Global Road","Comedy","PG","$17,744,685","1,978,225"
"109","109","Operation Finale","8/29/2018","MGM","Drama","PG-13","$17,612,099","1,963,444"
"110","110","Paul, Apostle of Christ","3/23/2018","Sony Pictures","Drama","PG-13","$17,547,999","1,956,298"
"111","111","Lady Bird","11/3/2017","A24","Drama","R","$17,525,810","1,953,824"
"112","112","Sorry to Bother You","7/6/2018","Annapurna Pictures","Comedy","R","$17,493,096","1,950,177"
"113","113","Chappaquiddick","4/6/2018","Entertainment Studios Motion Pictures","Thriller/Suspense","PG-13","$17,395,521","1,939,299"
"114","114","Robin Hood","11/21/2018","Lionsgate","Action","PG-13","$17,027,682","1,898,292"
"115","115","Forever My Girl","1/19/2018","Roadside Attractions","Drama","PG","$16,376,066","1,825,648"
"116","116","Hunter Killer","10/26/2018","Lionsgate","Thriller/Suspense","R","$15,767,460","1,757,799"
"117","117","The Girl in the Spider’s Web","11/9/2018","Sony Pictures","Thriller/Suspense","R","$14,578,647","1,625,267"
"118","118","RBG","5/4/2018","Magnolia Pictures","Documentary","PG","$14,017,361","1,562,693"
"119","119","Eighth Grade","7/13/2018","A24","Drama","R","$13,539,710","1,509,443"
"120","120","Call Me by Your Name","11/24/2017","Sony Pictures Classics","Drama","R","$13,158,311","1,466,924"
"121","121","The Darkest Minds","8/3/2018","20th Century Fox","Thriller/Suspense","PG-13","$12,695,691","1,415,350"
"122","122","All the Money in the World","12/25/2017","Sony Pictures","Thriller/Suspense","R","$12,393,945","1,381,710"
"123","123","Three Identical Strangers","6/29/2018","Neon","Documentary","PG-13","$12,320,845","1,373,561"
"124","124","Upgrade","6/1/2018","BH Tilt","Thriller/Suspense","R","$11,871,365","1,323,452"
"125","125","Padmavati","1/25/2018","Paramount Pictures","Drama","Not Rated","$11,846,060","1,320,630"
"126","126","Hell Fest","9/28/2018","CBS Films","Horror","R","$11,107,431","1,238,286"
"127","127","Wonder","11/17/2017","Lionsgate","Drama","PG","$10,863,515","1,211,094"
"128","128","The Old Man and the Gun","9/28/2018","Fox Searchlight","Comedy","PG-13","$10,841,749","1,208,667"
"129","129","The Miracle Season","4/6/2018","LD Entertainment","Drama","PG","$10,230,620","1,140,537"
"130","130","Green Book","11/21/2018","Universal","Drama","PG-13","$10,114,491","1,127,590"
"131","131","Free Solo","9/28/2018","Greenwich","Documentary","PG-13","$9,827,493","1,095,595"
"132","132","Midnight Sun","3/23/2018","Global Road","Drama","PG-13","$9,561,064","1,065,893"
"133","133","Tully","5/4/2018","Focus Features","Comedy","R","$9,227,130","1,028,665"
"134","134","Traffik","4/20/2018","Lionsgate","Thriller/Suspense","R","$9,186,156","1,024,097"
