"","display_title","mpaa_rating","critics_pick","byline","headline","summary_short","publication_date","opening_date","date_updated","link.type","link.url","link.suggested_link_text","multimedia.type","multimedia.src","multimedia.width","multimedia.height","Body"
"1","Infinite Football","",1,"GLENN KENNY","‘Infinite Football’ Review: Soccer and Other Existential Questions","By its end, the Romanian director Corneliu Porumboiu’s new documentary, nominally about world’s most popular sport, moves onto a plane of mysticism.","2018-11-08","2018-11-09","2018-11-08 12:04:10",article,http://www.nytimes.com/2018/11/08/movies/infinite-football-review-documentary.html,Read the New York Times Review of Infinite Football,mediumThreeByTwo210,https://static01.nyt.com/images/2018/11/09/arts/09infinite/merlin_146195229_63dc9e1c-787f-494c-b22f-2b268bf83a85-mediumThreeByTwo210.jpg,210,140,"The surfaces of this documentary are, as is customary for its director, the Romanian Corneliu Porumboiu, unprepossessing to an extreme.If you’re familiar with his work (“Police, Adjective;” “The Treasure”), you may recognize Porumboiu as one of the two men chatting in the movie’s opening scenes. These take place by a soccer field, inside a now out-of-use milling facility, and in a gray room where Porumboiu and the man doing most of the talking, Laurentiu Ginghina, stand before a white board. The lighting is minimal, the conversation at ordinary pitch and volume, and the cinematic rhythm attentive but unhurried.Ginghina speaks of injuring his leg during a soccer match many years earlier, and how after several procedures he realized he would never play the game he loved at the level to which he had aspired. His accident, he says, was the result of “imposed rules, rules that weren’t the best.” Then, using the white board, he lays out an improved version of soccer (or football, as the rest of the world knows it). In his vision, the field has no corners and the teams work in subdivisions.VideoA preview of the film.Published OnNov. 5, 2018Following a scene in which Ginghina, at his office, offers not much help to a woman lodging a land-use complaint (the movie withholds the details of his bureaucratic job), he takes up the sports discussion again with Porumboiu at a gym, where a group of men rehearse some of Ginghina’s ideas, then at an apartment Ginghina shares with his father. There, Ginghina is compelled to wrestle with the viability of his ideas.Porumboiu (who in 2014 made the documentary “The Second Game,” about a soccer match refereed by his father) implies that Ginghina’s proposals would make the game something other than soccer. “Football 2.0,” Ginghina says. He reels off more versions in sequence, and Porumboiu interjects, “infinite football.”Robert Coover’s 1968 novel “The Universal Baseball Association, Inc., J. Henry Waugh, Prop.” depicted the world of a man who conducted an imaginary professional baseball season entirely through rolls of dice. Its thematic argument was that the only life is the life of the mind. “Infinite Football” has similar concerns but somewhat more of a metaphysical bent.While the movie has allegorical resonances with the political and human rights disasters of 20th-century Romania, by the end, its surfaces, while remaining superficially unimpressive, open up as the film moves from epistemological speculation onto a plane of mysticism. This relatively short film contains worlds."
"2","Number 37","",1,"JEANNETTE CATSOULIS","‘Number 37’ Review: A Grungy South African Thriller","This slick film is cheerfully derivative yet doggedly entertaining.","2018-11-08","2018-11-09","2018-11-08 12:04:07",article,http://www.nytimes.com/2018/11/08/movies/number-37-review.html,Read the New York Times Review of Number 37,mediumThreeByTwo210,https://static01.nyt.com/images/2018/11/06/arts/number1/number1-mediumThreeByTwo210.jpg,210,140,"In the South African crime thriller “Number 37,” a desperate paraplegic and a pair of binoculars propel a plot cribbed from Hitchcock’s “Rear Window” yet crackling with its own lowlife energy.Set in a huddle of seedy housing blocks in a notoriously dangerous area outside Cape Town, the plot (by the first-time feature director, Nosipho Dumisa, and two others) circles Randal (Irshaad Ally), a bitter crook whose failed caper months earlier left him paralyzed. It also left him owing a great deal of money to a fearsome loan shark (Danny Ross) who enjoys torturing defaulting debtors. With only a week to find the cash, Randal is in a serious bind — until, through his binoculars, he spies a vile gang boss (David Manuel) murder a crooked cop in an apartment across the way. Maybe there’s a solution to his predicament after all.VideoA preview of the film.Published OnNov. 5, 2018Cheerfully derivative yet doggedly entertaining, “Number 37” benefits from Dumisa’s slick execution and impressive acting by her small cast. Cooking up an elaborate blackmail plot from his wheelchair, Randal becomes a stationary puppet master, casually risking the lives of a dopey friend and his long-suffering girlfriend, Pam (a wonderful Monique Rockman), to carry it out. When things go pear-shaped, though, Dumisa stages the calamities in tense, bite-sized scenes viewed through Randal’s seesawing lenses, cleverly conveying the frustration of his immobility.Though locked on lives shaped by chronic poverty, this tough little movie avoids social commentary. Drawing richness from his grungy setting, the cinematographer Zenn van Zyl is the opposite of immobile, his camera sweeping the teeming courtyard between apartment buildings and sneaking through narrow hallways and stairwells. To save Pam’s life, Randal will eventually be forced to attempt to do the same."
"3","Weightless","R",1,"KEN JAWOROWSKI","‘Weightless’ Review: A Look at Tough, Working-Class Lives","The film, with a screenplay by the playwright Enda Walsh and the director Jaron Albertin, follows a mentally ill man reuniting with his 10-year-old son.","2018-11-08","2018-11-09","2018-11-12 17:44:20",article,http://www.nytimes.com/2018/11/08/movies/weightless-review.html,Read the New York Times Review of Weightless,mediumThreeByTwo210,https://static01.nyt.com/images/2018/11/02/arts/weightless1/weightless1-mediumThreeByTwo210.jpg,210,140,"To watch “Weightless” is to worry for 93 minutes. Here, deeply damaged people are prone to exasperating decisions. Yet these characters are so strikingly realized that you can’t help but care for them. It’s a potent mixture of feelings, to be frustrated by someone’s actions and, at the same time, hope that he stays safe.While working at a landfill in rural New York, Joel (Alessandro Nivola) receives a phone call saying that Will (Eli Haley), his 10-year-old son who he has never seen, has been abandoned by Joel’s former wife. Joel, who is struggling with mental illness, takes in Will, who has health problems of his own. Soon there are serious questions about Joel’s competence and Will’s well-being.VideoA preview of the film.Published OnNov. 2, 2018No one here, including Julianne Nicholson as Joel’s girlfriend, Janeece, speaks when a gesture or expression would serve better. Several long, wordless stretches arise during the film, all of them thoughtful. Jaron Albertin, directing his first feature, cultivates tension in small moments and doesn’t force the drama.The script, by Albertin and the playwright Enda Walsh (whose screenplay for “Hunger,” with Steve McQueen, featured similar meaningful silences), captures the rough poetry of working-class days and nights. Nivola’s taciturn performance is mesmeric, while Haley delivers an affecting film debut. Both deftly embody lives that are often overlooked.A somewhat stronger plot may have made “Weightless” more taut, and perhaps more commercial. But the search for honest emotions, rather than a quest for constant action, takes precedence in nearly every scene. That admirable choice leads to a quietly aching film."
"4","The Ballad of Buster Scruggs","R",1,"A.O. SCOTT","‘The Ballad of Buster Scruggs’ Review: The Coens Go Darkly West Again","A.O. Scott says this cowboy anthology is among the silliest Coen brothers films, and also one of the grimmest.","2018-11-08","2018-11-16","2018-11-12 17:44:01",article,http://www.nytimes.com/2018/11/08/movies/the-ballad-of-buster-scruggs-review.html,Read the New York Times Review of The Ballad of Buster Scruggs,mediumThreeByTwo210,https://static01.nyt.com/images/2018/11/09/arts/09theballad1/09theballad1-mediumThreeByTwo210.jpg,210,140,"“The Ballad of Buster Scruggs” is one of the darkest movies by Joel and Ethan Coen, and also among the silliest. It swerves from goofy to ghastly so deftly and so often that you can’t always tell which is which.This is a familiar (and hardly unwelcome) paradox for fans of the Coens. Ever since “Blood Simple,” the brothers have tended to treat whimsy and fatalism as sides of the same coin. The jokes that the universe plays on hapless human creatures may be cruel, but they’re also funny, and the Coens are skilled and wily metaphysical pranksters. The hangings, shootings, scalpings and other grim ends awaiting the hapless cowboys, prospectors and wagon-train pioneers in this anthology of western tales are incidents of mortal slapstick. Death is a hilarious punch line until it happens to you.And sometimes even then. In the first episode — there are six in all, presented as if they were chapters in a handsomely illustrated old clothbound volume — the title character, played by a grinning Tim Blake Nelson, takes the prospect of his own demise in stride, as he does everyone else’s. There must be an afterlife, this cheerful killer surmises, since there are so many songs about it, one of which he sings as he ascends heavenward.VideoA preview of the film.Published OnNov. 6, 2018Known (among other nicknames) as the San Saba Songbird, Buster rides the dusty range strumming a black guitar, a Gene Autry with a murderous streak. His adventures — shootouts, bar fights and poker hands punctuated by musical numbers and bouts of genial, straight-to-camera philosophizing — set the tone for what follows.Some recent westerns like to delve into the political and ethical implications of the tradition, seeking to balance the demands of mythic resonance and historical authenticity. “The Ballad of Buster Scruggs” is defiantly not one of those. The movie pays tribute to some classics of the studio era, and also blows raspberries in the direction of earnest contemporary oaters like “Hostiles,” “The Revenant,” “Meek’s Cutoff” and “The Hateful Eight.” Genre for the Coens is not a church or an archive; it’s a playroom.And yet it’s always a mistake to take their frivolity at face value. They are serious not in spite of their facetiousness but by means of it. Even as “Buster Scruggs” is more frolicsome than, say, “No Country for Old Men” or “Inside Llewyn Davis,” it’s also in its way as haunting as either of those films.ImageZoe Kazan portrays a young woman on the Oregon Trail.CreditNetflixAesthetic pleasure has always occupied a crucial place in the Coen universe. They take evident delight in the mechanics of screenwriting and filmmaking — flaunting their ingenious wordplay, profligate storytelling and nimble editing (under the pseudonym Roderick Jaynes) — and also ensure that art, both lofty and popular, is integral to the experience of their characters.Entertainment is poor compensation for the brute fact of mortality, but it’s what we have. And so Alice Longabaugh (Zoe Kazan), a young woman on the Oregon Trail whose brother has died and whose own survival prospects are precarious, stops to giggle at the antics of a colony of prairie dogs. A crusty prospector (Tom Waits), digging for an elusive pocket of gold in a pristine mountain valley, sings a wistful ballad, as does a gentlemanly bounty killer (Brendan Gleeson) during a tense stagecoach ride.People tell stories and jokes and engage in mock-learned debates — not to arrive at any solutions but to pass the time between now and the grave. Eloquence, in Coen territory, is its own reward, even if it isn’t always appreciated. In “Meal Ticket,” the grimmest and cruelest of these yarns, a man without limbs, known as Hamilton, the Wingless Thrush (Harry Melling), is carted around by a grizzled impresario (Liam Neeson) and made to perform feats of elocution amid the mud and dust of remote frontier settlements.ImageSaul Rubinek, Tyne Daly and Chelcie Ross star in the movie’s last chapter, called “The Mortal Remains.”CreditNetflixThe texts he recites — including Shelley’s “Ozymandias,” the story of Cain and Abel, Shakespeare’s Sonnet 29, the Gettysburg Address — are perhaps included to deliver some sly commentary on brutality, mutability or the vanity of human ambition. They also seem like plausible staples of the popular literary canon in late-19th-century America. Which isn’t to say that masterworks of poetry and prose were necessarily held sacred then, any more than they are now. Hamilton’s fate can be taken as a parable of the vagaries of the cultural marketplace. Not to spoil anything, but “Meal Ticket” is basically “Inside Llewyn Davis” with a talented chicken in the Bob Dylan role.And “The Ballad of Buster Scruggs,” which will make its way to the Netflix streaming platform on Nov. 16 after a week in theaters, can be thought of as a Coen brothers concept album. It works just fine in sequence, but some tracks — the one with James Franco as a dumb bank robber, for instance — only need to be played once. Others invite a specific needle drop: Kazan’s expression of surprise when she receives a marriage proposal; her awkward conversations with Bill Heck; her utterly natural delivery of the word “apothegm”; Waits stealing eggs from an owl’s nest and then putting all but one of them back.The last chapter, called “The Mortal Remains,” is the deepest cut, the one that might send you back to the beginning, in search of hidden meanings and buried patterns. Five people on a stagecoach journey converse idly and argue heatedly. A wizened trapper (Chelcie Ross) contends that people are all the same, “like ferrets,” to which a proper lady (Tyne Daly) responds that people can be sorted into two kinds, “upright and sinning.” A Frenchman (Saul Rubinek) maintains that every individual is distinct, the unique product of history and temperament.Their journey ends not in violent death, as nearly all the other verses of this “Ballad” do, but with something stranger and chillier that casts its shadow on what came before. As if the morbid jokes were really existential riddles all along, and we were only laughing to drown out the terror."
"5","Fantastic Beasts: The Crimes of Grindelwald","PG-13",0,"MANOHLA DARGIS","‘Fantastic Beasts: The Crimes of Grindelwald’ Review: Apocalypse Too Soon","This second installment in J.K. Rowling’s series about a “magizoologist” is so freighted with foreboding that even the would-be whimsy feels leaden.","2018-11-08","2018-11-16","2018-11-12 17:44:24",article,http://www.nytimes.com/2018/11/08/movies/fantastic-beasts.html,Read the New York Times Review of Fantastic Beasts: The Crimes of Grindelwald,mediumThreeByTwo210,https://static01.nyt.com/images/2018/11/16/arts/16fantasticbeasts4/16fantasticbeasts4-mediumThreeByTwo210.jpg,210,140,"The team behind “Fantastic Beasts: The Crimes of Grindelwald” throws an awful lot at the screen during this clotted two-hour-plus diversion, the latest installment in the J.K. Rowling-verse. As is often the case in a Rowling production, evil is ascendant, seeping through both human and magic realms like poison gas.Mostly, though, because Rowling builds worlds, what “Grindelwald” has is a great deal of story. The movie is chockablock with stuff: titular creatures (if not nearly enough), attractive people, scampering extras, eye-catching locations, tragic flashbacks, teary confessions and largely bloodless, spectacular violence. It’s an embarrassment of riches, and it’s suffocating.VideoA preview of the film.Published OnNov. 7, 2018This is the second movie in what promises (threatens!) to be an extended “Fantastic Beasts” franchise. (Rowling spun this series out of the “Harry Potter” cycle, so subfranchise might be more correct.) It centers on Newt Scamander (Eddie Redmayne), a “magizoologist” who studies, rescues and nurses magical critters. Unlike Harry’s tale, though, Newt’s story opens with him already of age. The new movie picks up in New York in the mid-1920s, the end point of “Fantastic Beasts and Where to Find Them.” With its cloche hats, Model T’s, Art Deco flourishes and a Jazz Age vibe, it is a handsomely designed change of scenery from Potter World, one that’s mostly a story delivery system.[Read our review of “Fantastic Beasts and Where to Find Them”]Not much has happened since the last movie; mostly, people and parts have been shifted in preparation for the next great narrative heave forward. Once again, Newt is scurrying about while nefarious doings unfold in separate story lines. One is dominated by Gellert Grindelwald (a perfectly unmemorable Johnny Depp), an evil wizard who looks like he’s been dipped in flour (and who last appeared in the more flattering form of Colin Farrell). Grindelwald is consolidating his power and has big plans. These have become more transparent as fascism has seeped into the story, totalitarianism’s threat increasingly giving dark meaning to all the violence and ugly phrases like “pure blood.”Rowling is a literary magpie and first-rate synthesizer, and her stated inspirations for the Harry Potter books range from classical mythology to Jane Austen. Traces of the Bible, Shakespeare, Tolkien and other Western-lit staples are sprinkled throughout that series and therefore this one, too. However intentional, they form part of a cultural database, which is as smart as it is appealing. (The influences flatter but don’t overwhelm readers, and offer different interpretive portals into the tale.) Given some of these influences, it’s no surprise that the series is touched by death; given the arc of history, it’s also no surprise that it has morphed into an apocalyptic war story.A bleak, violent end — and the intimation of a worldwide cataclysm — looms from the very first scene of “The Crimes of Grindelwald.” Directed by David Yates and written by Rowling, the movie opens with a fierce, visually chaotic prison break that springs Grindelwald and sets the angry mood. The bad times rush in along with the assorted villains bringing escalating violence. By the time Newt materializes with his magical suitcase, where he often keeps his roaring, scuttling menagerie (mostly, sometimes) contained, the movie already seems like a series finale. It’s so freighted with foreboding that even the would-be whimsy feels leaden.ImageZoë Kravitz and Johnny Depp. Ms. Kravitz plays Leta Lestrange, and Mr. Depp has taken over the role of Gellert Grindelwald, an evil wizard.CreditJaap Buitendijk/Warner Bros.The darkness makes a startling contrast to the first movie, which mostly involved a lot of narrative place setting, including all the fun beastly introductions. Most of the characters are back, including Tina (Katherine Waterston), a law-and-order type called an Auror and Newt’s limp romantic foil. One of the disappointments of the “Fantastic Beasts” movies has been the casting, which has little of the wit and powerhouse talent that shored up the Harry Potter series. Redmayne can be a sensitive presence, but when he isn’t well directed his fluttering and darting looks quickly settle into ingratiating shtick. If Newt has any depth, a mewling, quivering Redmayne seems unlikely to tap it.That the contents of Newt’s suitcase are consistently more interesting than he is remains a problem, too. Rowling keeps trying to make him and the mysterious Credence (Ezra Miller) the narrative’s twinned center. Yet your attention keeps returning, almost longingly, to the movie’s funnier, more charming supporting players, notably Queenie (a delightful Alison Sudol) and Jacob (the equally appealing Dan Fogler). They don’t share Newt’s pedigree or Credence’s ominous threat; they’re side dishes. But they have the charming idiosyncrasies and human frailties of Rowling’s best creations, and they prove to be the ones you care most about.On the page, Rowling is a master storyteller, creating worlds so richly populated and densely textured that you can easily summon them up in your mind without ever having watched a single adaptation of her work. What occasionally trips her up is plot structure — the arrangement of all her attractive, whirling parts. Steve Kloves, who wrote all but one of the Harry Potter movies, was gifted at giving cinematic shape to Rowling’s increasingly long novels, with all their detours and savory details. Here, however, Rowling has surrendered to her maximalist tendencies and so cluttered up the story that you spend far too much time trying to untangle who did what to whom and why.Its pedigree and behind-the-scenes talent ensure that “The Crimes of Grindelwald” is scattered with minor pleasures, mostly ornamental — the brassy filigree that summons up old worlds, the stray elf that reminds you of adventures past. There’s also the Zouwu, a charming monster with a catlike face and a long body that whips around like a Chinese New Year dragon, upstaging everyone who shares the screen with it. Yet, by the time Rowling has gathered all her story lines together and a somnolent Zoë Kravitz, as the slinky Leta Lestrange, is guiding you through another digression, the movie has loosened its grip on you. That tightens only when the story tantalizingly shifts to Hogwarts, where Dumbledore, fond memories and the promise of better stories await."
"6","Overlord","R",0,"BILGE EBIRI","‘Overlord’ Review: Old-Fashioned Nazi-Killing, With a Gory Twist","The director Julius Avery delivers a fairly predictable action-horror hybrid about American soldiers behind enemy lines.","2018-11-08","2018-11-09","2018-11-12 17:44:23",article,http://www.nytimes.com/2018/11/08/movies/overlord-review.html,Read the New York Times Review of Overlord,mediumThreeByTwo210,https://static01.nyt.com/images/2018/11/09/arts/09overlord/09overlord-mediumThreeByTwo210.jpg,210,140,"The director Julius Avery’s “Overlord” begins with a spectacular parachute drop amid a firestorm of vomiting soldiers, burning airplanes and flying body parts, and it ends with an equally spectacular (and occasionally cathartic) pandemonium of exploding Nazis, geysers of blood and assorted creative impalements. In between, however, it delivers a fairly predictable, though still quite violent, action-horror hybrid about a small group of American soldiers behind enemy lines.The year is 1944, the Allies are about to land in Normandy, and our heroes must take out a critical Nazi radio-jamming tower. The tower has been built atop a church, which seems at first like a typically villainous attempt by the Germans to use a religious site as cover for a military outpost. But there may be more to it, as we soon discover.VideoA preview of the film.Published OnNov. 5, 2018Private Boyce (Jovan Adepo) of the United States Army is the film’s nervous, newbie protagonist, always eager to do the right thing but derided by fellow soldiers for not being tough enough. Together with the battle-hardened Corporal Ford (Wyatt Russell) and the meager remnants of their unit, they sneak into the small French village where the tower is, and learn from a young woman (Mathilde Ollivier) that the occupying Germans regularly take unruly locals to the church for punishment.What kind of punishment? That’s perhaps best kept secret for now — after all, the film was produced by J.J. Abrams, who likes to think of his stories as “mystery boxes” — but let’s just say that there are unidentifiable carcasses strewn in the forest, shadowy characters kept behind closed doors and a Nazi doctor who seems eager for freshly executed bodies.The idea of merging a World War II adventure with supernatural elements is certainly nothing new; examples abound, from “Raiders of the Lost Ark” to “The Keep” to (sort of) the zombie thriller “Dead Snow.” At times “Overlord” recalls these movies, and it also seems to be aware that its ostensibly twisty premise is actually fairly predictable: The film doesn’t try to surprise us with narrative revelations so much as it tries to jolt us with gore.That results in a curiously undernourished story that at times feels like it’s setting up mysteries and subplots that never quite go anywhere. Nevertheless, as seen in the film’s terrifying opening and its gruesome climax, Avery deftly orchestrates some grisly, intense set pieces. He delivers on the thrills, even if the story leaves something to be desired."
"7","Outlaw King","R",0,"MANOHLA DARGIS","‘Outlaw King’ Review: Bloody Medieval Times and Guts","Chris Pine stars in a historical slog about Robert the Bruce (1274-1329) that is little more than a churn of mud, entrails and misty nationalism.","2018-11-08","2018-11-09","2018-11-12 17:44:23",article,http://www.nytimes.com/2018/11/08/movies/outlaw-king-review.html,Read the New York Times Review of Outlaw King,mediumThreeByTwo210,https://static01.nyt.com/images/2018/11/09/arts/09outlawking-2/merlin_146195427_d203828a-4d97-4038-8e82-1e39b1a9d144-mediumThreeByTwo210.jpg,210,140,"Why do moviemakers insist on telling historical stories when they’re really just interested in costumes and war? There’s nothing new about the abbreviated history you find in “Outlaw King,” a monotonous slog through the life and brutally terrible times of Robert the Bruce (1274-1329), a Scottish noble who fought — and fought — the English. At least in old Hollywood, filmmakers would also try to entertain you amid the clashes and post-combat huddles, giving you something more to watch and ponder than this movie’s oceans of mud, truckloads of guts and misty, unconsidered nationalism.VideoA preview of the film.Published OnNov. 5, 2018The whole thing is a letdown, especially given that the last time its star, Chris Pine, worked with the director David Mackenzie, it was on “Hell or High Water,” a neo-western written by Taylor Sheridan that had ideas and characters to go with its genre moves. Mackenzie is one of three writers credited on “Outlaw King”; it’s evident that its problems started on the page and were so deeply ingrained that he never found a way to direct his way around them. The overlong, battle-heavy two hours (the movie has been trimmed since its festival run) also suggest that he was too in love with playing general by proxy.The recurrent churn of soil, blood and bodies largely seems to be the point, even if the presence of Pine and a few other fine performers nods to the movie that might have been. Pine of course plays Robert and offers an excuse to watch “Outlaw King” whether he’s staring thoughtfully into the picturesque Scottish distance or expressing alarm, grief or determination. These modes indicate the limitations of the character, though Pine recurrently manages to dig deeper into Robert than the dialogue does. He puts flesh on the man by tapping into his humor, longing, dread and gentleness, qualities that convey the story’s most painful stakes better than any battle.ImageChris Pine as Robert the Bruce, the title character of “Outlaw King.”CreditDavid Eustace/NetflixAlarm, grief and determination also shape the story, its relative lulls (with family and friends) followed by organizing and spasms of violence and so on. It opens with Robert and the other Scottish nobles — once led by an unseen William Wallace — licking their wounds, having recently been routed by the English. The enemy invaders in turn are led by King Edward (the characteristically excellent Stephen Dillane), a ruler whose perpetual disdain for the rest of humanity periodically swerves into disgust. In other words, “Outlaw King” more or less picks up where Mel Gibson’s “Braveheart” left off; to that end, Wallace’s legend and one of his body parts put in appearances here.Robert and the other nobles make uneasy peace with Edward but are shortly pushed back into violent rebellion, which is where Mackenzie seems happiest to have them. There are periodic cutaways, including to Robert’s new English bride, Elizabeth (the appealing Florence Pugh), whom Edward marries off for diplomatic reasons. Pugh helps elevate this thin character, furnishing Elizabeth with enough of an inner life that you, like Robert, miss her whenever they separate. The attempts to invest Elizabeth with a little overly modern-sounding feminist resolve fall short, though, and are reminders that historical fiction rarely knows what to do with the little ladies left at home.Mackenzie does nice, tight work now and again, mostly in more intimate sequences, but too many scenes drag, and his fetishistization of violence proves numbing. In one, a gutted, dying man’s entrails spill to the ground; in another, screaming horses and men are impaled on spikes. It’s telling that while the story turns on nationalism, the movie feels untethered from life. It takes the Scottish desire for sovereignty for granted (also: the English are greedy and pathologically sadistic). Yet like many movies of this type, it never engages a simple yet profound question: Why would human beings, especially the lowliest, willingly die to be ruled by a king named Robert instead of one called Edward."
"8","The New Romantic","",0,"TEO BUGBEE","‘The New Romantic’ Review: Experiments With Love and Money","A college newspaper columnist writes about her experiences trading gifts for sex in a film that squanders its good will.","2018-11-08","2018-11-09","2018-11-12 17:44:23",article,http://www.nytimes.com/2018/11/08/movies/the-new-romantic-review.html,Read the New York Times Review of The New Romantic,mediumThreeByTwo210,https://static01.nyt.com/images/2018/11/07/arts/newromantic1/newromantic1-mediumThreeByTwo210.jpg,210,140,"In “The New Romantic,” Blake (Jessica Barden) writes the most prudish sex column in the history of college newspapers. Raised on Nora Ephron and Jane Austen, she cuts her insufficiently amorous dates short and opines on the death of romance. But when Blake meets a woman who trades sex for gifts — a “sugar baby” — the column takes on new life. Through her new acquaintance, Blake is introduced to a wealthy author and investor, Ian (Timm Sharp), and then writes about the transactional relationship she starts with him.VideoA preview of the film.Published OnNov. 5, 2018CreditCreditThe OrchardThe writer-director Carly Stone pulls off an impressive trick in her first feature by shooting a story about money on a low budget. Blake’s negotiations with wealth and power are communicated through simple choices in design. Stone finds a perfectly fitted summer dress that allows Blake to pass among the rich, but by contrasting her bare-bones dorm with the self-consciously minimalist style of Ian’s bachelor pad, Stone also elegantly shows the imbalance of power in their relationship.When the dialogue addresses Blake’s choices, the effect is like a needle scratch on one of Ian’s vintage records. Blake obsesses over her dynamic with Ian, imploring friends to reassure her that she is not a hooker. Stone never introduces a perspective that might push back at Blake’s disparaging attitude toward prostitution. So, unlike the sensibly romantic heroines Blake admires, she is never confronted by her own hypocrisies. Over time, even the soft lighting appears to wallow with her in sanctimony. Mirroring its green protagonist, “The New Romantic” presents an image of sophistication while playing with ideas that are out of its depth."
"9","Here and Now","R",0,"AISHA HARRIS","‘Here and Now’ Review: Jazz, Mortality and Sarah Jessica Parker","Parker takes on a different kind of role in this morose, contemplative drama.","2018-11-08","2018-11-09","2018-11-12 17:44:22",article,http://www.nytimes.com/2018/11/08/movies/here-and-now-review.html,Read the New York Times Review of Here and Now,mediumThreeByTwo210,https://static01.nyt.com/images/2018/11/05/arts/here1/here1-mediumThreeByTwo210.jpg,210,140,"In “Here and Now,” the ruminative drama from the filmmaker Fabien Constant, Sarah Jessica Parker is Vivienne, a jazz vocalist preparing to release a new album and celebrate 25 years of performing at the Birdland jazz club.If this sounds like a stretch for the actress best known for playing Carrie Bradshaw on “Sex and the City,” it is: Parker is hard to buy as a renowned jazz singer when she performs in a nightclub scene, her vocals fine but lacking the oomph needed to convey lyrics clearly meant to evoke a cathartic moment for the character.VideoA preview of the film.Published OnNov. 5, 2018Laura Eason’s script is less interested in musical artistry, however, than it is in the confronting of one’s own mortality. Vivienne’s day (and the movie) begins with a bleak health diagnosis that leaves her stunned. Over the next 24 hours, each encounter with unaware friends, family and colleagues collides uncomfortably with her internal need to process the news.Parker, whose piercing blue eyes are at once jarring and sad, is more convincing as an intensely guarded woman who keeps most people in her life at a comfortable distance, be it her suffocating (but well-meaning) mother, played by Jacqueline Bisset, or her drummer-with-benefits (Taylor Kinney). (Though there’s a sense that Constant doesn’t fully trust Parker, or even himself, as he relies a few too many times on fussy hand-held camera work and claustrophobic close-ups to convey Vivienne’s disorienting state of mind.)Sometimes Vivienne’s closed off nature feels unintentionally alienating — the rapper-turned-actor Common pops up as Vivienne’s longtime manager, but their banter lacks familiarity. Renée Zellweger (unlike Common, a rare occurrence on screens these days) appears in a single, all-too-brief scene as Tessa, a friend who long ago lost touch with Vivienne. A story line involving a brusque Lyft driver (Waleed Zuaiter) plays like convenient filler.It all adds up to a film aiming to be a moving character study (and an ostensible homage to Agnés Varda’s “Cléo From 5 to 7,” a far more vivid exploration of existentialism), but instead feels adrift."
"10","In a Relationship","",0,"JEANNETTE CATSOULIS","‘In a Relationship’ Review: Two Couples at Opposite Stages of Love","Sam Boyd’s gentle, loose-limbed romantic comedy wins no prizes for originality.","2018-11-08",NA,"2018-11-12 17:44:22",article,http://www.nytimes.com/2018/11/08/movies/in-a-relationship-review.html,Read the New York Times Review of In a Relationship,mediumThreeByTwo210,https://static01.nyt.com/images/2018/11/06/arts/inarelationship/inarelationship-mediumThreeByTwo210.jpg,210,140,"Unspooling over one languid summer, Sam Boyd’s laid-back, loose-limbed debut feature, “In a Relationship,” wins no prizes for originality. Unadventurous to the point of humdrum, the story monitors the dating travails of two young Los Angeles couples with little to engage them except sex and socializing.At least the sex is safe, though no thanks to the men. Quarreling and mating in almost equal amounts, Hallie (Emma Roberts) and the commitment-phobic Owen (Michael Angarano) enjoy each other’s company but hardly seem a match made in heaven. After several years together, she would like to cohabit; he’d prefer to drift and dream. His goofily immature best friend, Matt (Patrick Gibson), though, has fallen hard for Hallie’s ultrahot cousin, Willa (Dree Hemingway). Considering he’s still living at home and sleeping in his little-boy bed, his chances of Willa’s reciprocation seem slim.VideoA preview of the film.Published OnNov. 5, 2018A low-concept, low-bar romantic comedy whose conundrums are as familiar as love itself, “In a Relationship” has a smudged tenderness and almost nostalgic sweetness, as if we’re watching these characters painfully learn everything that we already know. Their vague gestures toward employment — dabbling in photography, editing bar mitzvah videos — lend the movie a relaxed aimlessness that takes sexual experimentation and emotional time-outs in stride.Expanding ideas and characters explored in his short 2015 mockumentary of the same name, Boyd creates a soft-serve millennial world of Ubers and pool parties and ill-advised cell-phone snooping. The upshot is a gentle, gossamer movie that, like its soundtrack, goes down easy and is almost instantly forgotten."
